water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,ihhnv_outbreak,disease_type,data_source
20.36,13.83,8.65,9.22,0.586,145.38,144.57,2662.03,1.13,0,1,1,101,Indonesia,Wet,12,2023,0.283,0.33,0,ihhnv,simulated
33.43,23.26,8.87,5.47,1.074,374.2,32.86,1122.23,3.01,0,0,0,75,Malaysia,Dry,5,2022,0.499,0.58,0,ihhnv,simulated
31.69,18.68,8.47,2.33,1.762,457.67,91.3,663.81,24.94,1,0,1,166,Malaysia,Wet,9,2021,0.613,1.0,1,ihhnv,simulated
20.92,2.21,7.74,8.82,3.032,462.55,103.46,1105.53,16.03,0,0,1,122,Thailand,Wet,4,2021,0.413,0.48,1,ihhnv,simulated
26.13,13.87,6.18,5.33,3.425,374.83,94.11,735.58,27.98,1,0,0,98,Indonesia,Dry,11,2023,0.709,0.93,1,ihhnv,simulated
23.76,11.78,7.62,3.69,4.78,381.37,11.39,3034.9,22.81,0,0,0,82,Thailand,Wet,3,2021,0.564,0.505,0,ihhnv,simulated
31.02,20.85,7.52,4.79,4.631,178.99,161.28,3552.58,29.93,0,0,1,168,Indonesia,Dry,12,2019,0.51,0.78,1,ihhnv,simulated
26.07,20.38,7.66,6.1,0.962,483.17,39.42,601.67,0.87,1,1,1,52,India,Dry,12,2022,0.264,0.78,0,ihhnv,simulated
24.84,12.93,6.27,6.27,2.822,326.72,53.76,4132.52,8.41,0,1,1,73,Vietnam,Wet,2,2019,0.643,0.43,1,ihhnv,simulated
33.04,2.7,8.14,2.46,3.606,173.45,146.19,3707.51,22.36,1,0,0,93,China,Wet,4,2018,0.691,0.955,1,ihhnv,simulated
22.42,24.19,6.49,6.92,2.692,371.91,81.41,663.55,10.48,1,1,1,134,Thailand,Dry,7,2020,0.57,1.0,1,ihhnv,simulated
29.32,6.76,8.19,5.01,4.809,32.16,188.06,3784.11,19.71,1,1,0,153,India,Wet,2,2022,0.615,0.88,1,ihhnv,simulated
20.75,4.55,8.67,7.23,1.882,241.91,43.57,2119.27,16.96,1,0,0,68,Malaysia,Wet,12,2021,0.496,0.58,1,ihhnv,simulated
33.89,16.59,7.66,3.72,2.356,245.38,50.6,4863.59,23.48,0,1,0,120,Thailand,Dry,3,2019,0.498,0.505,1,ihhnv,simulated
20.6,19.01,8.77,3.52,2.102,248.93,167.37,2460.69,8.95,0,1,0,39,Vietnam,Dry,2,2022,0.661,0.655,0,ihhnv,simulated
30.24,28.86,6.23,7.15,4.95,489.31,96.64,4706.27,25.96,0,1,0,63,Vietnam,Dry,11,2021,0.64,0.68,1,ihhnv,simulated
28.09,10.55,7.51,7.77,0.564,71.6,12.49,1122.09,29.62,1,1,1,162,Malaysia,Dry,2,2021,0.139,0.53,0,ihhnv,simulated
34.12,10.65,6.74,3.91,1.974,212.25,64.08,652.52,24.23,1,1,1,127,Indonesia,Wet,6,2019,0.549,0.905,1,ihhnv,simulated
34.94,25.48,6.95,7.75,4.288,184.18,84.26,4260.86,29.63,0,0,0,162,Philippines,Dry,2,2020,0.5,0.78,1,ihhnv,simulated
31.44,4.29,6.68,7.04,4.621,208.11,195.86,1205.89,21.54,0,0,1,38,Vietnam,Wet,4,2018,0.569,0.63,0,ihhnv,simulated
29.23,17.49,6.14,5.13,0.433,43.68,40.01,1889.5,25.17,1,0,0,155,China,Dry,9,2018,0.437,0.88,1,ihhnv,simulated
31.56,2.37,8.21,6.9,4.499,46.97,30.85,653.26,16.05,0,1,1,45,Indonesia,Dry,4,2021,0.555,0.28,1,ihhnv,simulated
25.5,21.35,8.67,5.08,3.545,274.41,195.54,3759.04,25.23,0,0,1,164,China,Dry,6,2020,0.692,0.93,1,ihhnv,simulated
33.62,0.51,6.57,2.76,3.965,413.94,101.97,3627.8,7.12,1,1,1,118,Thailand,Dry,12,2023,0.73,0.855,1,ihhnv,simulated
34.58,28.84,7.48,7.14,4.398,154.99,37.15,3598.28,4.36,1,0,0,99,China,Dry,11,2018,0.432,0.83,1,ihhnv,simulated
32.48,1.37,8.93,7.01,2.095,110.93,28.74,3728.64,18.95,1,1,1,127,Malaysia,Wet,10,2020,0.571,0.63,1,ihhnv,simulated
22.59,30.07,8.41,3.5,3.327,249.79,68.75,4469.88,4.47,0,0,0,109,Philippines,Dry,10,2021,0.702,0.705,1,ihhnv,simulated
20.56,33.61,8.63,3.11,4.512,105.64,91.76,3587.86,21.61,0,1,0,173,Vietnam,Dry,10,2020,0.751,0.405,0,ihhnv,simulated
27.83,12.84,7.13,5.53,2.089,302.77,96.16,1658.67,20.1,0,0,0,38,Philippines,Dry,11,2020,0.443,0.58,1,ihhnv,simulated
29.73,1.08,6.24,9.4,1.664,314.56,148.7,3727.77,3.23,1,1,0,106,China,Dry,10,2020,0.415,0.83,1,ihhnv,simulated
21.02,11.8,7.16,3.55,1.807,154.19,83.01,1065.39,0.49,0,1,1,141,Indonesia,Wet,10,2018,0.472,0.455,1,ihhnv,simulated
21.4,6.03,7.82,7.18,3.566,2.48,152.19,451.78,14.37,1,0,1,120,Thailand,Dry,9,2022,0.481,0.73,0,ihhnv,simulated
26.86,8.54,6.2,4.1,1.521,268.24,143.12,2125.48,28.65,1,1,1,145,Malaysia,Wet,4,2022,0.582,0.93,1,ihhnv,simulated
29.58,30.41,8.23,5.62,1.019,353.14,38.19,1648.62,12.96,0,1,0,43,Thailand,Wet,2,2020,0.381,0.38,0,ihhnv,simulated
31.64,12.48,8.89,2.51,0.347,473.47,112.91,3635.45,13.19,0,1,0,77,Thailand,Wet,2,2019,0.52,0.455,0,ihhnv,simulated
21.31,20.8,8.73,8.87,0.651,348.11,94.09,844.53,3.97,0,0,1,95,Malaysia,Dry,11,2022,0.315,0.63,1,ihhnv,simulated
26.58,6.1,6.44,7.84,0.154,390.23,50.67,158.57,0.11,1,0,0,67,Indonesia,Wet,5,2020,0.266,0.68,1,ihhnv,simulated
33.64,3.55,7.99,5.58,1.407,272.0,95.12,1852.59,7.65,0,0,1,149,Malaysia,Dry,3,2020,0.385,0.53,0,ihhnv,simulated
29.73,8.88,7.85,2.42,2.858,284.81,143.52,3997.3,5.91,0,0,1,82,Malaysia,Dry,3,2022,0.629,0.705,0,ihhnv,simulated
23.24,5.32,6.15,6.04,3.562,491.86,153.26,1938.02,11.87,1,1,1,43,Philippines,Dry,9,2021,0.69,0.88,1,ihhnv,simulated
29.77,33.16,6.67,8.35,2.771,151.32,130.55,401.01,1.63,0,1,1,80,Thailand,Dry,12,2023,0.501,0.58,1,ihhnv,simulated
29.97,27.8,7.85,9.92,3.597,184.47,79.95,1970.68,6.77,1,1,0,146,Thailand,Dry,12,2022,0.394,1.0,1,ihhnv,simulated
26.76,4.5,8.92,2.03,1.021,94.34,81.57,3921.13,12.69,1,0,1,142,Malaysia,Dry,4,2019,0.616,1.0,1,ihhnv,simulated
33.19,26.89,6.13,6.22,0.082,122.08,35.71,607.79,29.8,0,0,1,121,Vietnam,Dry,2,2018,0.363,0.53,0,ihhnv,simulated
27.92,14.63,8.2,5.8,0.967,114.19,26.12,634.36,17.99,1,1,0,126,Vietnam,Wet,7,2019,0.364,0.58,0,ihhnv,simulated
21.07,7.22,7.56,9.48,2.594,257.0,109.87,4159.18,14.98,1,1,0,49,Thailand,Dry,10,2023,0.316,0.58,1,ihhnv,simulated
22.98,26.17,6.49,9.57,2.265,198.93,44.27,4264.82,6.39,1,1,1,68,Philippines,Wet,11,2022,0.434,0.98,1,ihhnv,simulated
33.53,34.8,6.21,6.35,0.754,13.36,27.45,4525.33,7.06,1,1,1,113,Philippines,Dry,9,2023,0.42,0.48,1,ihhnv,simulated
27.17,7.69,7.37,6.88,3.945,389.17,187.52,4503.37,23.15,0,0,1,163,China,Dry,6,2021,0.459,0.63,1,ihhnv,simulated
29.63,11.78,7.21,4.72,4.427,350.13,134.44,1890.18,8.86,1,0,0,167,China,Wet,3,2023,0.558,0.93,0,ihhnv,simulated
22.85,26.42,8.28,3.18,1.079,490.02,126.6,4638.25,3.27,1,1,0,58,Thailand,Dry,6,2021,0.477,1.0,1,ihhnv,simulated
24.23,18.89,8.25,2.27,2.482,439.13,135.33,1078.13,8.44,0,0,1,180,Malaysia,Wet,5,2023,0.658,1.0,1,ihhnv,simulated
20.29,2.61,8.23,9.18,1.127,262.18,12.64,979.41,28.74,0,1,1,133,Malaysia,Dry,1,2019,0.274,0.18,1,ihhnv,simulated
26.69,29.06,8.38,4.73,2.879,351.12,161.01,3770.01,1.4,0,0,0,48,Vietnam,Dry,4,2022,0.642,0.88,1,ihhnv,simulated
33.01,31.14,8.3,5.28,3.718,425.68,59.64,292.62,1.71,1,0,1,128,Vietnam,Dry,2,2020,0.624,0.68,0,ihhnv,simulated
34.66,8.16,7.81,8.62,0.694,21.32,196.64,1028.34,23.08,0,0,1,68,Vietnam,Wet,2,2023,0.175,0.48,0,ihhnv,simulated
31.2,28.84,6.67,4.96,4.349,192.11,12.88,2914.66,21.08,1,1,1,122,Indonesia,Wet,10,2022,0.64,0.88,1,ihhnv,simulated
23.21,6.82,8.55,4.24,1.226,318.63,100.82,1304.18,14.05,1,1,1,105,Malaysia,Dry,8,2019,0.503,0.88,1,ihhnv,simulated
22.31,20.44,7.79,5.03,1.389,120.22,21.46,2175.57,23.84,0,0,1,32,Indonesia,Dry,10,2021,0.368,0.68,1,ihhnv,simulated
25.25,33.12,7.68,3.6,3.859,468.21,57.59,626.28,24.19,1,0,1,170,Vietnam,Wet,10,2021,0.577,0.855,1,ihhnv,simulated
34.0,24.05,6.34,5.35,0.725,327.33,151.21,2480.0,29.85,1,1,0,147,China,Wet,9,2021,0.429,0.93,0,ihhnv,simulated
34.22,4.64,6.35,7.6,0.444,169.75,105.61,2467.18,13.34,0,1,1,96,Malaysia,Wet,6,2021,0.321,0.43,0,ihhnv,simulated
33.24,13.4,7.99,8.25,3.067,21.36,151.49,4299.15,18.48,1,1,0,116,China,Wet,4,2018,0.473,0.73,0,ihhnv,simulated
22.27,21.69,8.65,3.2,2.269,120.47,87.21,2111.95,12.18,0,0,1,134,Thailand,Wet,6,2020,0.67,1.0,1,ihhnv,simulated
32.82,30.19,8.42,5.89,1.716,389.73,79.91,1161.5,17.17,0,0,1,142,Thailand,Wet,7,2023,0.481,0.63,1,ihhnv,simulated
33.51,24.69,7.06,5.22,0.921,497.3,106.26,1675.23,19.39,1,0,1,106,Indonesia,Dry,5,2021,0.335,0.98,0,ihhnv,simulated
31.83,16.95,6.04,6.45,4.458,371.64,186.92,4917.92,12.89,0,1,0,139,Philippines,Wet,12,2018,0.695,0.73,1,ihhnv,simulated
30.53,13.89,8.1,3.15,2.805,295.08,115.77,2050.45,7.49,0,1,0,164,India,Dry,7,2023,0.64,0.505,0,ihhnv,simulated
27.02,17.14,7.68,6.39,2.872,102.58,168.02,2234.07,13.67,1,0,1,146,Vietnam,Dry,11,2023,0.469,1.0,1,ihhnv,simulated
23.41,29.96,6.34,3.89,0.226,24.9,190.74,4001.9,25.91,1,0,0,140,Vietnam,Wet,5,2020,0.422,1.0,1,ihhnv,simulated
31.97,21.6,6.68,3.02,0.65,229.18,67.48,4086.89,6.73,1,1,1,35,Indonesia,Dry,3,2022,0.442,1.0,1,ihhnv,simulated
33.93,1.02,7.4,6.82,3.408,142.61,48.1,4520.96,27.87,1,1,1,74,Vietnam,Wet,11,2018,0.456,0.58,1,ihhnv,simulated
33.98,15.66,7.11,6.81,3.514,482.24,166.37,4044.81,28.5,0,0,1,147,Philippines,Wet,11,2022,0.505,0.83,1,ihhnv,simulated
21.31,13.05,6.85,9.26,2.536,446.41,106.25,4387.45,2.07,0,0,0,149,Vietnam,Wet,2,2022,0.415,0.48,0,ihhnv,simulated
24.15,15.04,7.7,2.3,4.984,174.99,94.13,1028.46,3.23,0,1,0,114,Indonesia,Dry,8,2022,0.623,0.805,1,ihhnv,simulated
21.97,13.7,7.43,2.93,3.017,22.39,46.83,1022.12,26.51,1,0,1,165,Malaysia,Dry,12,2022,0.581,0.605,0,ihhnv,simulated
32.41,16.1,7.49,6.66,2.457,453.38,75.17,4676.96,17.81,1,1,1,38,Philippines,Wet,10,2019,0.386,1.0,1,ihhnv,simulated
26.86,13.93,8.37,7.11,1.26,361.08,33.58,911.71,18.97,1,0,1,92,India,Wet,10,2022,0.381,0.83,1,ihhnv,simulated
27.4,9.94,6.32,4.94,1.632,125.17,53.39,4965.69,11.82,1,0,0,141,Vietnam,Wet,11,2021,0.547,0.78,1,ihhnv,simulated
31.35,23.67,7.63,5.57,3.429,260.54,14.59,2731.78,27.88,0,0,0,102,Thailand,Wet,12,2021,0.503,0.58,0,ihhnv,simulated
30.09,20.49,6.46,5.08,0.698,457.05,137.18,3593.1,15.26,1,1,0,131,Thailand,Wet,2,2023,0.415,0.93,1,ihhnv,simulated
29.38,1.62,8.92,3.7,4.681,40.95,139.8,2308.81,1.13,1,1,1,123,Vietnam,Wet,4,2022,0.78,1.0,1,ihhnv,simulated
22.88,22.98,6.24,4.48,0.083,200.34,69.89,1143.81,21.14,1,1,0,100,Thailand,Dry,9,2019,0.403,0.98,1,ihhnv,simulated
33.07,11.89,8.5,6.47,2.166,431.62,59.92,2686.07,26.83,0,1,0,69,Philippines,Dry,9,2020,0.525,0.23,0,ihhnv,simulated
29.54,31.16,6.43,5.3,0.826,326.17,106.35,909.84,17.88,1,1,0,54,China,Wet,1,2023,0.427,0.78,1,ihhnv,simulated
30.88,30.9,6.82,8.62,0.069,339.65,84.18,3027.45,14.0,0,0,0,38,China,Dry,2,2018,0.167,0.43,0,ihhnv,simulated
30.3,26.0,6.44,6.18,4.353,23.46,76.16,3720.76,8.42,0,0,1,32,Malaysia,Wet,1,2023,0.637,0.88,0,ihhnv,simulated
29.17,6.08,6.04,8.97,3.931,206.37,134.69,591.9,20.13,1,1,0,122,China,Wet,11,2021,0.611,0.88,1,ihhnv,simulated
28.01,7.38,7.87,9.35,4.0,144.83,96.35,3362.51,2.95,0,0,0,35,Philippines,Wet,6,2023,0.417,0.63,0,ihhnv,simulated
24.81,20.37,6.04,2.31,3.083,105.72,79.79,4736.38,9.09,0,1,0,101,Indonesia,Dry,2,2020,0.833,0.855,1,ihhnv,simulated
34.27,28.01,8.43,3.24,4.992,410.12,48.44,4644.61,0.78,0,1,0,147,Thailand,Dry,7,2021,0.714,0.555,1,ihhnv,simulated
33.76,23.94,6.75,3.05,2.014,482.19,141.57,3869.88,16.47,1,1,1,70,Philippines,Dry,1,2018,0.58,1.0,1,ihhnv,simulated
22.04,20.92,6.2,6.8,2.151,447.91,111.02,795.89,6.91,1,0,1,31,Philippines,Dry,5,2023,0.562,1.0,1,ihhnv,simulated
31.98,2.97,7.41,4.48,2.005,21.01,57.33,3288.47,2.78,0,1,0,79,Vietnam,Wet,3,2018,0.422,0.23,0,ihhnv,simulated
22.92,33.05,8.9,8.74,4.669,173.06,106.19,4023.61,12.95,0,1,0,95,India,Dry,3,2021,0.609,0.53,0,ihhnv,simulated
24.22,6.39,6.99,6.81,2.461,258.74,91.11,3957.29,3.94,0,1,1,37,India,Wet,9,2019,0.465,0.63,1,ihhnv,simulated
25.83,18.29,8.99,9.65,0.951,105.51,25.56,4966.94,24.57,1,0,1,152,China,Dry,9,2019,0.366,0.93,1,ihhnv,simulated
34.57,31.33,8.3,8.41,3.821,86.9,144.56,1289.26,3.13,0,0,1,175,Philippines,Dry,4,2019,0.52,0.58,1,ihhnv,simulated
29.45,25.04,8.58,3.58,0.526,443.18,66.89,1949.04,8.85,1,1,1,155,Thailand,Wet,2,2021,0.452,1.0,1,ihhnv,simulated
34.98,23.07,8.94,6.88,0.455,424.96,89.28,3280.94,14.69,1,0,1,92,Philippines,Wet,8,2021,0.395,1.0,1,ihhnv,simulated
22.9,2.2,6.68,7.72,1.008,49.42,190.84,1519.67,9.53,1,1,1,49,Malaysia,Dry,4,2020,0.325,0.88,1,ihhnv,simulated
30.74,33.48,8.1,9.72,1.044,447.83,22.27,155.81,25.71,1,0,0,153,Thailand,Wet,2,2018,0.225,0.68,0,ihhnv,simulated
22.09,11.06,7.93,7.84,0.851,117.2,59.58,3906.98,9.97,0,0,0,135,Vietnam,Dry,10,2020,0.238,0.28,1,ihhnv,simulated
28.1,23.0,6.82,9.6,1.65,43.27,120.74,3810.65,20.69,0,1,0,117,Thailand,Wet,2,2021,0.31,0.83,0,ihhnv,simulated
21.59,2.69,6.55,8.99,4.565,397.68,178.23,629.13,16.33,1,0,0,137,Philippines,Dry,11,2021,0.525,0.73,0,ihhnv,simulated
30.44,22.54,6.58,3.45,4.018,432.16,115.7,2636.84,28.34,1,1,0,112,Thailand,Wet,3,2018,0.705,1.0,1,ihhnv,simulated
32.73,9.9,8.67,7.71,0.39,68.15,48.86,3010.54,5.76,0,1,1,163,Malaysia,Dry,9,2019,0.315,0.18,0,ihhnv,simulated
31.83,0.22,8.4,5.09,1.514,265.43,115.16,4726.31,10.77,1,0,1,171,Malaysia,Dry,12,2020,0.482,0.88,1,ihhnv,simulated
20.63,19.22,7.79,9.68,3.865,31.51,169.97,1086.69,18.82,0,1,0,139,China,Dry,7,2023,0.392,0.53,1,ihhnv,simulated
27.07,13.09,7.76,4.82,1.287,15.78,186.87,1702.78,24.86,0,0,1,111,Thailand,Wet,7,2020,0.359,0.68,0,ihhnv,simulated
31.94,31.16,7.35,2.89,2.088,72.17,124.82,4589.61,25.09,1,1,0,133,China,Wet,5,2022,0.494,0.805,1,ihhnv,simulated
33.31,10.16,7.14,8.74,1.897,173.25,77.4,2261.19,19.29,1,1,0,85,Thailand,Dry,10,2022,0.313,0.68,1,ihhnv,simulated
24.04,24.82,8.22,8.6,0.295,299.44,22.44,1657.69,21.8,0,0,0,173,China,Wet,12,2019,0.199,0.63,0,ihhnv,simulated
33.87,7.38,8.81,2.03,1.376,486.19,98.0,4261.26,23.81,0,1,0,61,Thailand,Wet,5,2023,0.637,0.555,0,ihhnv,simulated
32.52,5.15,7.93,9.25,0.951,329.9,120.48,3172.1,16.23,0,1,1,134,India,Wet,5,2021,0.202,0.38,0,ihhnv,simulated
23.74,12.48,7.13,8.38,3.066,255.63,58.81,2519.65,27.81,0,1,0,87,China,Wet,8,2022,0.449,0.33,0,ihhnv,simulated
27.73,34.95,7.3,4.86,0.736,258.14,198.47,4893.01,0.96,1,1,1,145,Vietnam,Dry,1,2020,0.286,0.73,0,ihhnv,simulated
20.11,21.85,6.63,4.78,3.231,234.99,104.71,3060.55,5.48,1,1,0,65,China,Wet,2,2020,0.652,0.93,1,ihhnv,simulated
25.52,22.74,7.26,9.29,4.54,426.33,124.46,3619.56,15.35,1,1,1,166,India,Dry,10,2020,0.397,1.0,1,ihhnv,simulated
31.76,10.19,8.44,9.79,0.871,334.16,186.3,1820.15,9.26,1,0,0,139,India,Wet,8,2019,0.26,0.78,1,ihhnv,simulated
30.72,22.73,6.97,3.24,2.825,23.13,19.84,491.07,14.96,1,1,1,139,Malaysia,Wet,2,2023,0.628,0.955,1,ihhnv,simulated
30.07,6.98,6.06,7.99,4.447,182.59,36.24,4006.45,27.68,1,1,1,127,China,Dry,1,2018,0.64,0.58,1,ihhnv,simulated
23.12,26.25,6.28,5.72,3.826,376.93,197.56,4888.04,29.07,1,1,1,178,Vietnam,Wet,4,2019,0.679,1.0,1,ihhnv,simulated
29.44,6.35,8.07,2.96,3.06,491.11,86.08,1131.01,24.5,1,1,1,95,China,Wet,8,2023,0.663,1.0,1,ihhnv,simulated
28.91,23.32,8.77,9.12,4.361,19.29,29.52,3819.56,14.48,0,1,0,57,Philippines,Dry,7,2023,0.574,0.58,0,ihhnv,simulated
27.19,25.89,7.39,8.3,2.622,197.25,119.46,4334.94,13.44,0,0,0,172,Vietnam,Dry,9,2021,0.366,0.83,1,ihhnv,simulated
27.06,20.35,7.07,3.4,3.778,216.67,189.69,100.98,5.87,0,1,1,54,Vietnam,Wet,11,2022,0.625,0.905,1,ihhnv,simulated
33.82,25.8,8.22,5.67,1.942,123.21,187.89,288.58,15.11,0,0,0,143,Vietnam,Wet,3,2020,0.48,0.83,0,ihhnv,simulated
27.71,12.86,6.36,5.54,3.521,1.33,179.39,3544.69,20.12,0,1,1,148,Philippines,Wet,6,2018,0.672,0.63,0,ihhnv,simulated
25.8,20.75,8.05,7.48,0.11,217.04,66.51,2095.43,10.19,1,1,0,93,Vietnam,Wet,11,2021,0.188,1.0,1,ihhnv,simulated
27.02,19.93,8.63,5.81,0.278,339.46,39.83,1109.91,16.03,1,0,0,168,Philippines,Wet,5,2021,0.359,0.93,1,ihhnv,simulated
26.87,20.01,7.58,5.22,1.256,243.28,112.33,3797.08,16.7,1,1,1,53,Malaysia,Wet,6,2022,0.312,1.0,1,ihhnv,simulated
21.0,32.93,6.26,5.88,3.4,106.73,72.7,4199.68,23.88,0,1,0,101,China,Dry,11,2021,0.677,0.33,1,ihhnv,simulated
34.07,20.78,8.92,7.69,3.475,339.06,50.24,4923.77,21.05,1,0,0,169,Indonesia,Dry,1,2019,0.647,0.88,1,ihhnv,simulated
33.42,20.96,8.54,7.98,3.106,414.06,29.14,684.27,27.48,1,1,0,97,Philippines,Dry,4,2020,0.574,0.78,0,ihhnv,simulated
20.8,25.05,7.23,8.91,0.327,468.19,31.91,1254.49,15.73,0,0,1,129,Philippines,Wet,10,2022,0.118,0.43,0,ihhnv,simulated
31.74,27.56,6.59,5.94,1.549,319.39,141.51,1137.32,22.26,1,0,0,123,China,Wet,8,2019,0.459,1.0,1,ihhnv,simulated
29.96,24.06,7.53,6.51,4.667,95.4,166.31,3718.84,28.49,0,0,1,66,Indonesia,Wet,10,2018,0.455,0.93,1,ihhnv,simulated
23.43,33.89,6.13,7.96,4.423,227.56,156.45,4129.73,3.58,1,0,1,80,Indonesia,Wet,8,2023,0.63,1.0,1,ihhnv,simulated
32.39,9.29,6.69,6.54,3.521,235.76,32.38,1882.17,3.67,0,0,1,134,Malaysia,Dry,10,2023,0.584,0.38,0,ihhnv,simulated
27.68,31.29,7.33,2.4,0.357,140.07,103.11,685.26,1.79,0,0,0,160,Vietnam,Dry,2,2019,0.321,0.555,1,ihhnv,simulated
28.84,15.72,7.82,7.17,4.17,169.78,102.26,4874.02,28.86,1,1,0,107,Vietnam,Dry,8,2019,0.481,1.0,1,ihhnv,simulated
23.28,17.89,8.22,2.71,0.185,494.46,90.01,602.92,18.99,1,1,1,87,Vietnam,Dry,7,2023,0.384,1.0,1,ihhnv,simulated
31.69,9.17,8.0,7.3,3.508,271.76,94.32,3197.19,10.85,0,1,1,54,Indonesia,Wet,2,2023,0.507,0.48,1,ihhnv,simulated
31.1,27.28,8.64,9.12,3.641,216.6,188.69,826.32,3.82,1,0,1,150,Vietnam,Dry,12,2020,0.553,1.0,1,ihhnv,simulated
23.56,29.83,8.78,4.7,1.869,254.81,139.93,2618.79,19.43,0,0,0,103,Thailand,Dry,9,2019,0.598,0.88,1,ihhnv,simulated
20.33,23.26,8.51,4.0,4.285,23.58,111.69,1250.8,6.82,0,0,1,136,China,Dry,7,2022,0.702,0.73,1,ihhnv,simulated
31.78,17.58,6.71,9.93,2.88,146.14,129.17,3377.25,26.77,0,0,1,72,India,Wet,10,2019,0.454,0.88,1,ihhnv,simulated
34.6,24.89,7.4,7.79,1.689,404.39,50.34,4227.94,8.0,1,0,1,102,Malaysia,Dry,9,2018,0.278,0.88,0,ihhnv,simulated
21.21,2.84,6.5,2.22,0.241,364.03,151.33,505.57,13.35,1,0,1,130,Philippines,Dry,1,2019,0.453,0.755,1,ihhnv,simulated
20.2,34.05,8.35,3.57,3.669,399.78,29.77,3559.08,4.0,1,1,0,36,China,Dry,9,2022,0.689,0.505,1,ihhnv,simulated
23.25,34.02,7.66,4.0,2.594,68.15,149.6,1661.86,21.1,1,1,1,129,Malaysia,Dry,1,2023,0.515,0.83,1,ihhnv,simulated
23.46,28.11,7.73,9.33,3.391,198.61,20.85,125.69,8.4,1,0,1,66,Malaysia,Wet,11,2018,0.394,1.0,1,ihhnv,simulated
26.85,12.57,8.09,7.92,3.64,106.21,48.28,2467.36,21.59,0,1,1,42,Philippines,Dry,9,2022,0.501,0.38,0,ihhnv,simulated
20.81,29.19,7.04,9.58,1.752,224.11,186.18,561.52,4.57,1,1,0,59,Vietnam,Wet,8,2023,0.285,0.88,0,ihhnv,simulated
26.26,4.7,7.8,7.91,1.502,245.88,103.66,2964.16,24.31,0,1,1,168,China,Dry,2,2019,0.287,0.53,0,ihhnv,simulated
23.53,4.88,7.64,8.22,4.239,202.32,139.33,2973.99,3.9,1,0,1,125,China,Dry,7,2023,0.416,0.93,1,ihhnv,simulated
21.58,26.71,6.25,8.32,1.081,231.03,182.16,3033.78,15.08,0,1,0,69,Vietnam,Dry,12,2023,0.384,0.58,1,ihhnv,simulated
27.69,9.23,6.89,4.14,3.278,420.28,13.0,1307.15,7.77,0,0,1,49,Thailand,Wet,11,2022,0.63,0.53,0,ihhnv,simulated
27.13,0.31,6.77,9.03,3.71,181.04,109.18,2861.19,5.25,1,1,1,88,Malaysia,Dry,2,2019,0.487,0.88,1,ihhnv,simulated
29.26,8.87,6.1,8.98,0.354,434.59,134.86,1265.54,17.06,0,0,0,57,Malaysia,Dry,11,2021,0.307,0.53,1,ihhnv,simulated
23.52,31.38,7.12,5.41,0.55,108.65,175.31,325.47,13.07,1,0,0,69,Thailand,Dry,7,2018,0.277,0.78,1,ihhnv,simulated
22.55,15.31,8.72,6.7,4.778,485.47,128.32,2615.54,27.81,1,1,1,99,Thailand,Dry,7,2021,0.647,1.0,1,ihhnv,simulated
25.06,14.42,7.93,8.21,4.385,262.23,54.48,413.2,14.17,0,1,1,90,Vietnam,Wet,5,2023,0.465,0.38,0,ihhnv,simulated
21.3,22.49,7.03,7.24,1.71,464.61,70.71,2542.86,16.41,1,1,1,126,China,Dry,7,2022,0.36,0.88,1,ihhnv,simulated
28.32,12.39,8.5,5.87,1.944,441.76,49.87,2021.09,5.23,0,1,0,41,Malaysia,Dry,10,2021,0.52,0.33,0,ihhnv,simulated
28.04,0.18,8.08,6.84,4.74,207.62,89.5,1168.36,12.8,0,0,0,69,Indonesia,Wet,8,2020,0.535,0.68,0,ihhnv,simulated
21.3,20.71,8.67,3.54,3.331,172.66,185.97,3334.82,13.7,1,0,0,82,India,Wet,11,2021,0.744,1.0,1,ihhnv,simulated
29.3,1.42,6.75,4.22,3.187,412.54,33.99,4927.71,9.12,0,1,1,99,Philippines,Wet,9,2020,0.651,0.43,0,ihhnv,simulated
29.31,27.35,7.65,6.52,0.218,132.8,106.31,4033.64,22.19,0,0,0,57,Philippines,Dry,9,2020,0.165,0.73,0,ihhnv,simulated
20.48,14.82,8.55,5.51,2.928,124.29,135.21,4355.87,8.42,1,0,0,109,India,Dry,3,2023,0.65,0.73,1,ihhnv,simulated
33.3,18.63,6.62,2.17,3.917,356.75,193.54,508.3,28.23,0,0,0,179,Philippines,Dry,9,2023,0.741,0.855,1,ihhnv,simulated
31.27,29.89,6.49,5.97,2.332,16.46,80.75,4058.12,27.45,0,1,0,167,Thailand,Wet,5,2019,0.562,0.73,0,ihhnv,simulated
27.09,14.28,6.95,6.72,1.692,453.05,48.07,3821.82,19.52,1,1,1,104,Indonesia,Dry,2,2018,0.389,0.68,1,ihhnv,simulated
25.35,19.53,7.02,4.79,1.672,421.01,35.85,957.95,2.08,0,1,0,56,China,Wet,4,2020,0.439,0.58,0,ihhnv,simulated
30.82,2.61,6.23,2.12,0.723,488.54,156.22,2548.86,4.18,0,1,1,117,Malaysia,Wet,10,2021,0.555,0.505,0,ihhnv,simulated
