water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,imnv_outbreak,disease_type,data_source
28.92,29.79,6.04,2.88,3.464,310.57,179.28,4891.67,29.74,1,1,0,50,China,Wet,6,2022,0.814,0.98,1,imnv,simulated
34.75,0.84,7.99,8.92,2.253,249.66,75.54,3246.74,1.66,1,1,0,97,China,Dry,1,2019,0.368,0.63,1,imnv,simulated
20.41,30.9,7.22,7.45,4.113,149.38,70.81,896.61,15.47,0,0,0,158,China,Dry,5,2019,0.465,0.43,0,imnv,simulated
34.98,19.51,8.93,2.63,4.594,49.29,198.94,4218.82,4.66,1,0,1,113,India,Wet,2,2018,0.817,1.0,1,imnv,simulated
32.58,14.82,7.16,8.78,2.592,225.85,126.16,214.13,14.72,1,0,0,176,Indonesia,Dry,1,2020,0.385,0.88,1,imnv,simulated
26.68,2.57,7.53,5.11,4.715,40.61,91.93,3338.44,26.55,0,1,0,81,Indonesia,Dry,10,2019,0.501,0.53,1,imnv,simulated
24.22,30.75,8.72,3.56,4.642,262.99,179.41,4857.09,13.8,1,1,0,145,India,Wet,7,2021,0.751,0.98,1,imnv,simulated
29.05,1.56,6.45,3.19,1.789,391.75,23.39,681.06,20.96,1,1,0,115,Thailand,Dry,4,2020,0.601,0.63,1,imnv,simulated
24.67,29.69,7.82,2.01,4.849,57.25,32.17,456.26,25.87,0,1,0,59,Philippines,Dry,12,2020,0.653,0.37,0,imnv,simulated
26.06,3.99,7.66,9.17,4.722,355.54,41.11,511.53,4.42,0,0,1,45,Thailand,Dry,6,2019,0.388,0.43,1,imnv,simulated
34.5,25.9,7.49,9.32,4.14,218.02,185.22,2873.57,3.61,1,1,0,178,India,Wet,2,2018,0.358,0.88,1,imnv,simulated
20.15,3.83,8.02,6.07,4.69,414.39,123.67,1720.88,20.93,1,0,1,143,Philippines,Dry,4,2022,0.551,0.74,1,imnv,simulated
32.07,25.15,8.97,7.98,2.576,383.16,188.04,3715.38,18.15,0,0,0,50,Philippines,Dry,8,2018,0.599,0.74,1,imnv,simulated
27.82,34.75,6.28,2.45,3.869,286.08,152.85,4310.55,23.9,0,0,0,95,Philippines,Dry,8,2018,0.788,0.78,1,imnv,simulated
32.71,2.11,8.67,4.23,2.702,202.92,158.88,3506.33,9.98,1,0,1,155,Vietnam,Dry,3,2019,0.688,0.84,1,imnv,simulated
22.09,24.62,6.42,8.64,2.462,435.96,111.0,1380.17,25.2,0,0,1,52,Thailand,Wet,4,2020,0.499,0.79,1,imnv,simulated
26.75,10.72,6.91,9.82,4.94,166.51,49.3,1109.07,15.95,1,0,0,56,Thailand,Dry,8,2022,0.438,0.79,1,imnv,simulated
27.8,32.14,7.16,4.85,1.339,252.76,112.28,1396.2,20.22,1,1,0,109,Vietnam,Wet,2,2022,0.377,0.83,1,imnv,simulated
32.22,2.47,6.42,8.79,3.981,162.97,128.81,666.65,19.07,0,0,1,102,Vietnam,Dry,1,2018,0.554,0.64,0,imnv,simulated
29.46,33.97,7.44,6.45,1.917,462.01,90.76,2442.75,24.5,0,0,0,65,Indonesia,Wet,6,2019,0.341,0.73,1,imnv,simulated
27.84,23.88,7.04,5.02,2.755,416.24,169.27,1177.07,10.72,0,1,1,122,China,Dry,5,2020,0.549,0.73,1,imnv,simulated
21.55,6.43,7.93,7.98,3.469,205.07,58.7,3279.62,9.87,0,0,0,108,China,Wet,1,2019,0.472,0.28,0,imnv,simulated
30.61,22.43,7.86,9.12,4.505,194.62,103.5,4118.98,1.4,0,1,1,109,Vietnam,Wet,9,2023,0.423,0.83,1,imnv,simulated
30.31,7.95,7.22,9.31,3.76,411.44,181.4,4711.77,24.87,1,1,0,101,China,Wet,5,2023,0.403,0.83,1,imnv,simulated
26.36,1.64,7.19,5.13,3.557,406.22,122.0,1459.65,18.32,0,0,1,166,Malaysia,Dry,8,2022,0.547,0.68,0,imnv,simulated
32.49,15.07,7.61,9.19,1.37,263.54,145.69,2684.02,15.96,0,1,0,30,Malaysia,Wet,2,2022,0.198,0.68,1,imnv,simulated
23.25,1.28,7.8,3.0,3.281,115.18,121.92,4563.97,1.12,0,1,0,80,Thailand,Dry,12,2021,0.617,0.42,1,imnv,simulated
24.66,11.8,6.48,7.4,3.023,112.84,69.42,4971.42,2.49,1,0,0,52,Vietnam,Dry,1,2020,0.59,0.79,0,imnv,simulated
29.88,20.11,8.51,6.38,3.357,23.79,30.05,4928.2,10.28,1,0,1,63,Philippines,Wet,8,2019,0.622,0.94,1,imnv,simulated
33.94,12.45,6.89,2.54,4.892,328.28,146.06,1278.51,28.08,0,1,1,46,China,Wet,3,2023,0.684,0.88,1,imnv,simulated
23.61,23.95,7.19,6.5,3.536,436.46,190.83,1658.96,22.39,0,0,0,132,India,Dry,7,2020,0.502,0.58,1,imnv,simulated
23.47,9.42,6.07,8.11,1.29,338.8,192.39,3249.96,8.18,0,0,1,102,China,Dry,1,2019,0.445,0.54,0,imnv,simulated
23.46,8.92,8.5,8.98,3.257,198.84,104.18,4573.36,18.44,1,0,0,147,India,Wet,5,2020,0.534,0.79,1,imnv,simulated
31.36,28.72,6.83,8.34,0.592,477.79,42.11,3610.7,11.35,0,0,0,159,Thailand,Wet,12,2023,0.233,0.32,0,imnv,simulated
31.82,20.29,6.59,9.83,3.546,254.24,117.05,1216.19,5.13,0,1,0,145,Indonesia,Dry,12,2021,0.491,0.64,1,imnv,simulated
32.06,23.32,8.91,6.44,0.433,20.37,125.92,1460.75,24.08,0,0,1,172,Vietnam,Dry,7,2022,0.402,0.67,0,imnv,simulated
34.96,12.53,8.07,2.02,4.271,187.38,177.89,1487.22,9.27,0,0,1,121,Malaysia,Dry,9,2020,0.694,0.88,1,imnv,simulated
22.99,13.48,7.75,6.01,2.531,26.75,182.73,4787.31,13.91,1,1,0,180,Vietnam,Dry,12,2019,0.456,0.68,0,imnv,simulated
31.05,8.62,6.54,8.96,3.158,62.87,196.62,3441.54,2.59,0,1,0,120,Thailand,Dry,3,2018,0.528,0.49,0,imnv,simulated
32.43,33.13,7.32,4.46,2.913,89.52,184.21,2887.58,16.47,0,1,1,115,India,Dry,6,2023,0.538,0.48,1,imnv,simulated
26.22,23.77,8.85,2.91,2.321,277.25,10.79,4144.47,23.66,1,1,1,153,Indonesia,Wet,9,2020,0.719,0.93,1,imnv,simulated
22.04,1.47,7.12,2.5,0.266,234.45,147.93,3217.24,12.48,0,1,0,110,Indonesia,Dry,2,2019,0.343,0.3,0,imnv,simulated
33.14,1.1,6.4,9.58,0.154,168.76,182.23,1076.62,2.0,1,0,0,35,China,Dry,11,2021,0.214,0.67,1,imnv,simulated
29.79,32.35,8.61,2.13,0.933,290.64,176.29,2482.76,2.76,1,0,1,50,Thailand,Dry,11,2020,0.551,0.91,1,imnv,simulated
26.27,7.18,6.42,9.36,0.184,462.71,93.71,3448.75,21.75,0,0,1,33,Philippines,Dry,2,2022,0.222,0.62,0,imnv,simulated
22.78,2.13,8.96,8.8,3.5,416.92,195.12,1925.62,23.82,1,1,0,100,Philippines,Wet,10,2021,0.617,0.69,1,imnv,simulated
32.14,33.1,7.67,9.85,0.384,372.01,197.93,4117.65,27.63,0,1,0,136,Philippines,Dry,11,2018,0.076,0.31,0,imnv,simulated
21.9,19.22,8.21,4.78,1.272,421.11,34.99,1707.43,9.8,0,1,1,157,Indonesia,Wet,8,2018,0.434,0.44,0,imnv,simulated
31.96,24.01,8.38,4.04,4.077,339.38,139.9,642.61,6.09,1,1,0,95,Philippines,Wet,1,2022,0.679,0.94,1,imnv,simulated
29.76,3.3,6.5,3.74,1.201,404.21,184.75,3577.77,29.22,1,1,1,97,China,Wet,12,2021,0.509,1.0,1,imnv,simulated
25.65,4.45,8.59,4.28,3.222,452.59,128.27,2464.29,1.78,1,0,1,121,India,Dry,10,2019,0.706,0.94,1,imnv,simulated
29.68,14.44,8.06,7.67,1.745,453.88,31.81,2585.37,24.41,1,1,1,56,Thailand,Dry,8,2018,0.365,0.74,1,imnv,simulated
22.51,32.3,6.66,8.94,4.563,174.79,181.47,718.24,7.5,0,0,0,163,Malaysia,Dry,6,2021,0.509,0.49,1,imnv,simulated
32.2,20.82,7.77,8.99,4.079,245.87,176.89,1771.33,29.9,0,1,1,65,Vietnam,Wet,4,2018,0.412,0.73,1,imnv,simulated
23.13,18.24,7.74,3.26,3.835,407.52,169.18,3966.06,12.17,0,1,0,147,Vietnam,Dry,8,2020,0.598,0.57,0,imnv,simulated
31.87,32.31,6.37,3.5,0.543,382.35,35.98,3784.74,24.61,1,0,0,81,Vietnam,Wet,10,2019,0.465,0.61,0,imnv,simulated
20.1,19.08,6.82,5.92,2.935,4.14,137.79,779.61,7.96,0,0,1,40,Philippines,Wet,12,2020,0.575,0.79,1,imnv,simulated
27.12,29.78,6.17,8.77,4.4,177.15,166.92,1834.42,14.21,1,0,1,62,India,Dry,11,2022,0.596,0.94,1,imnv,simulated
25.98,8.47,8.19,5.04,3.348,416.43,108.02,1873.33,29.65,1,1,0,61,Malaysia,Wet,8,2021,0.614,0.89,1,imnv,simulated
22.75,11.39,7.06,7.5,4.622,387.37,56.34,3887.32,14.53,0,0,0,77,Philippines,Wet,6,2022,0.49,0.43,0,imnv,simulated
24.9,20.65,7.53,7.07,1.784,186.67,101.77,585.42,28.31,0,1,1,79,Thailand,Dry,1,2022,0.301,0.73,0,imnv,simulated
29.3,10.68,8.63,8.71,3.491,247.96,112.12,3449.79,20.64,0,0,0,89,Indonesia,Wet,2,2021,0.565,0.94,1,imnv,simulated
29.41,5.19,6.53,7.99,2.517,35.51,186.13,132.6,5.14,1,0,1,156,Vietnam,Wet,11,2021,0.508,1.0,1,imnv,simulated
31.47,8.85,7.84,6.83,4.865,257.58,190.57,3732.33,10.49,0,1,0,156,Indonesia,Wet,12,2018,0.496,0.53,1,imnv,simulated
24.28,25.4,7.38,6.34,1.906,388.47,116.99,3838.96,21.62,0,0,0,156,India,Wet,7,2022,0.354,0.88,1,imnv,simulated
34.33,29.54,8.15,6.72,1.026,277.77,152.47,2179.82,8.9,0,0,0,85,China,Wet,1,2018,0.332,0.69,1,imnv,simulated
21.21,33.46,8.74,3.48,4.678,69.02,158.4,2144.99,24.78,0,1,1,88,Malaysia,Wet,9,2023,0.757,0.63,1,imnv,simulated
25.71,33.14,7.7,9.76,0.553,99.58,171.71,1434.32,27.64,1,0,1,72,Malaysia,Dry,10,2019,0.103,0.76,0,imnv,simulated
28.77,12.66,8.17,2.79,0.351,197.84,174.82,772.68,13.96,1,0,1,58,Vietnam,Wet,1,2022,0.391,1.0,1,imnv,simulated
23.04,4.94,8.32,9.7,0.39,37.96,30.11,1740.14,8.93,0,0,0,35,Vietnam,Dry,8,2020,0.19,0.12,0,imnv,simulated
32.03,28.58,8.39,2.7,2.031,347.05,127.48,1285.25,16.84,1,0,1,142,Philippines,Dry,2,2019,0.617,0.93,1,imnv,simulated
20.3,0.06,7.3,7.3,4.987,258.21,101.86,3394.57,15.92,0,1,0,63,Vietnam,Wet,10,2020,0.457,0.43,1,imnv,simulated
34.45,22.31,6.59,4.65,3.71,321.18,127.61,3404.93,21.69,1,0,1,126,China,Dry,8,2022,0.663,0.99,1,imnv,simulated
32.54,4.19,6.83,9.45,2.507,19.53,137.67,1765.55,29.16,0,0,1,104,China,Wet,5,2021,0.409,0.74,0,imnv,simulated
20.59,11.35,8.75,6.52,0.683,454.33,38.57,3945.98,15.06,1,0,1,91,Malaysia,Dry,4,2022,0.4,0.52,0,imnv,simulated
20.44,21.82,7.47,7.55,4.336,490.31,16.49,1013.87,20.1,0,0,1,121,Philippines,Wet,4,2020,0.42,0.48,1,imnv,simulated
24.02,32.01,7.39,8.07,2.959,420.84,54.74,4789.88,23.41,1,0,0,41,Philippines,Dry,2,2023,0.411,0.58,1,imnv,simulated
29.01,6.7,7.19,2.02,2.499,375.82,107.46,3870.49,9.76,0,1,1,105,Vietnam,Wet,9,2023,0.595,0.77,1,imnv,simulated
28.05,27.38,7.84,8.6,0.1,266.95,185.99,3319.81,2.6,0,1,0,41,Thailand,Wet,11,2018,0.114,0.66,1,imnv,simulated
25.89,27.96,8.8,8.05,4.103,2.03,32.65,2477.43,12.6,0,1,0,178,Thailand,Dry,11,2019,0.615,0.49,1,imnv,simulated
31.24,25.11,8.17,4.31,3.584,465.44,67.32,1265.71,9.67,1,0,0,70,China,Dry,2,2023,0.635,0.69,1,imnv,simulated
31.79,34.78,8.45,8.3,4.499,338.18,131.22,3701.59,16.04,0,0,0,157,China,Wet,5,2021,0.548,0.69,0,imnv,simulated
29.63,5.57,6.27,8.46,0.669,388.08,188.01,2360.01,12.88,1,1,1,67,Indonesia,Wet,8,2018,0.331,0.82,1,imnv,simulated
31.2,14.22,6.12,7.87,1.858,499.66,109.63,4690.78,14.32,1,0,1,59,Malaysia,Wet,2,2021,0.507,1.0,1,imnv,simulated
21.21,13.78,7.12,9.99,2.352,415.95,168.73,1112.49,29.16,0,0,1,111,Malaysia,Dry,10,2020,0.325,0.63,1,imnv,simulated
24.39,23.42,6.3,2.65,2.679,314.76,54.72,2784.9,9.91,1,0,0,106,Vietnam,Dry,9,2021,0.743,0.88,1,imnv,simulated
32.15,13.93,8.88,3.24,3.593,381.84,64.99,1239.83,22.41,0,0,0,46,Vietnam,Wet,1,2020,0.789,0.68,1,imnv,simulated
26.58,6.43,7.98,6.55,0.263,414.9,125.38,4736.85,3.86,1,1,0,102,Indonesia,Dry,7,2019,0.224,0.61,1,imnv,simulated
31.09,25.2,6.2,4.76,4.558,470.79,104.64,1608.31,6.42,1,1,1,126,Malaysia,Dry,10,2020,0.725,0.89,1,imnv,simulated
30.8,26.19,8.81,7.36,3.148,12.44,20.14,2217.32,19.13,0,0,1,40,India,Dry,8,2022,0.64,0.64,1,imnv,simulated
20.51,28.99,6.43,6.7,2.807,496.61,162.47,3194.44,27.52,0,0,0,146,Vietnam,Dry,9,2022,0.6,0.49,0,imnv,simulated
34.07,8.39,6.21,9.94,2.418,404.85,40.56,4868.42,26.47,1,0,1,173,India,Dry,1,2021,0.486,0.59,1,imnv,simulated
29.77,30.35,8.28,9.15,4.515,165.13,143.21,145.28,11.97,1,1,1,165,India,Dry,1,2020,0.492,0.84,1,imnv,simulated
27.91,19.28,8.03,4.04,0.865,32.96,101.93,1754.91,6.77,0,0,1,101,Malaysia,Dry,7,2021,0.383,0.77,1,imnv,simulated
20.35,32.19,6.28,2.79,4.591,390.11,104.95,714.77,3.16,0,0,0,128,Indonesia,Wet,3,2022,0.777,0.68,1,imnv,simulated
31.4,22.34,7.59,6.2,2.556,66.42,193.95,314.25,7.74,0,0,0,140,China,Dry,4,2020,0.426,0.68,1,imnv,simulated
22.77,10.11,6.92,4.44,1.284,450.67,129.11,951.5,3.47,1,0,0,164,Indonesia,Dry,5,2020,0.425,0.84,1,imnv,simulated
21.36,31.88,8.22,8.39,1.315,278.81,48.83,1171.37,0.56,0,0,0,94,Indonesia,Wet,6,2019,0.32,0.34,1,imnv,simulated
33.71,21.19,7.3,4.08,1.985,12.15,108.48,108.0,12.29,0,1,1,38,Vietnam,Dry,2,2020,0.451,0.63,1,imnv,simulated
20.72,10.53,7.31,3.65,1.107,249.89,69.94,2289.6,15.88,0,0,1,152,India,Wet,2,2019,0.366,0.57,0,imnv,simulated
21.57,29.39,7.1,9.42,0.635,72.96,165.51,4566.56,11.19,1,1,1,71,India,Dry,12,2022,0.157,0.46,1,imnv,simulated
29.42,18.73,7.68,2.53,4.378,221.41,20.48,4090.17,5.06,0,1,0,59,Vietnam,Dry,3,2019,0.612,0.52,1,imnv,simulated
24.03,11.99,8.44,8.68,3.141,223.2,110.5,1110.0,0.44,0,0,1,85,Philippines,Wet,5,2019,0.534,0.99,1,imnv,simulated
33.42,4.61,6.76,8.01,0.351,260.16,168.31,3491.83,4.09,1,1,0,135,Indonesia,Dry,12,2018,0.229,0.57,1,imnv,simulated
25.96,6.82,6.83,5.45,3.604,231.07,198.94,2974.7,15.06,1,0,0,30,Thailand,Dry,6,2019,0.597,0.89,1,imnv,simulated
28.94,31.39,7.81,4.47,0.726,223.83,157.87,4376.57,17.22,1,1,1,126,Malaysia,Wet,11,2018,0.317,0.76,1,imnv,simulated
31.19,29.29,7.72,8.34,2.939,206.3,99.59,4047.36,6.82,1,0,0,164,Philippines,Wet,1,2021,0.419,0.83,1,imnv,simulated
21.09,33.36,7.87,5.92,1.675,75.73,25.96,1862.78,3.91,1,1,1,167,Indonesia,Dry,6,2021,0.384,0.33,0,imnv,simulated
30.22,23.36,8.67,2.75,2.294,73.52,90.38,4800.16,4.48,1,1,1,107,Thailand,Dry,6,2018,0.692,1.0,1,imnv,simulated
22.05,18.44,8.14,3.51,3.113,158.87,141.1,2390.02,3.2,0,0,0,156,Philippines,Wet,4,2019,0.656,0.83,1,imnv,simulated
27.81,12.01,8.32,7.9,1.488,293.47,141.46,3259.91,15.75,0,1,0,104,Thailand,Wet,11,2020,0.372,0.84,1,imnv,simulated
28.49,1.65,7.74,3.57,3.245,103.17,90.36,1101.11,6.0,0,0,0,32,Malaysia,Wet,9,2021,0.588,0.82,1,imnv,simulated
24.71,1.85,8.74,9.49,2.678,218.95,100.67,3739.32,20.41,0,0,1,174,Malaysia,Wet,10,2018,0.521,0.84,1,imnv,simulated
24.18,0.03,6.34,3.06,3.523,457.95,193.69,949.43,11.13,1,0,1,84,Malaysia,Dry,4,2022,0.758,1.0,1,imnv,simulated
26.17,16.15,7.13,9.4,1.383,77.13,29.44,3870.49,15.12,1,1,0,156,India,Dry,6,2020,0.235,0.63,1,imnv,simulated
27.2,4.17,7.15,2.41,1.281,168.22,196.7,1702.23,22.58,1,0,0,118,Thailand,Dry,7,2019,0.454,0.92,1,imnv,simulated
32.66,19.97,6.8,6.65,0.93,238.82,132.77,2225.99,27.29,1,1,0,138,Philippines,Wet,7,2021,0.332,0.82,0,imnv,simulated
27.84,27.83,6.9,7.62,4.574,411.29,151.15,1814.91,13.28,0,1,1,66,Thailand,Dry,6,2020,0.513,0.79,1,imnv,simulated
24.67,28.69,7.68,7.0,0.091,141.5,15.57,332.35,22.54,1,1,0,34,Malaysia,Dry,8,2021,0.14,0.36,1,imnv,simulated
25.68,11.14,7.47,2.09,1.784,149.79,55.77,3605.14,27.36,0,1,1,177,Indonesia,Dry,6,2020,0.467,0.57,1,imnv,simulated
20.94,6.61,8.3,7.07,3.464,298.41,53.37,1598.34,9.45,0,0,1,61,Malaysia,Dry,5,2020,0.564,0.29,0,imnv,simulated
25.81,18.43,6.6,3.52,3.098,453.22,115.43,2473.45,9.86,0,1,1,125,China,Dry,4,2023,0.699,0.88,1,imnv,simulated
32.68,10.74,6.57,7.25,1.646,354.62,143.85,507.84,8.42,0,0,0,131,Vietnam,Dry,12,2022,0.43,0.74,1,imnv,simulated
20.94,24.82,8.3,9.59,1.987,495.18,138.76,2753.08,11.63,0,0,1,137,Philippines,Dry,8,2021,0.368,0.69,1,imnv,simulated
24.14,10.18,6.65,4.49,4.543,42.6,26.1,4653.82,0.26,1,1,1,170,Philippines,Dry,10,2021,0.659,0.74,0,imnv,simulated
33.15,13.91,8.01,4.84,3.314,116.79,163.01,4514.55,21.42,0,1,0,139,India,Dry,5,2019,0.59,0.64,0,imnv,simulated
27.86,17.83,8.27,7.67,2.633,267.28,77.23,3243.76,11.71,1,1,1,175,Vietnam,Wet,8,2022,0.499,1.0,1,imnv,simulated
27.5,5.35,8.81,9.87,1.214,478.61,167.27,1112.96,15.31,0,0,1,100,Indonesia,Wet,1,2019,0.358,0.84,1,imnv,simulated
23.52,16.75,7.73,5.92,4.825,468.59,35.86,4775.75,4.87,0,0,1,161,Vietnam,Wet,11,2019,0.508,0.48,0,imnv,simulated
23.69,1.56,6.75,8.27,2.132,490.58,181.35,2701.13,3.81,0,0,1,40,Thailand,Dry,3,2022,0.42,0.54,0,imnv,simulated
27.14,24.21,6.68,9.81,4.783,93.82,100.37,4606.42,9.83,1,1,0,37,Thailand,Wet,6,2018,0.476,1.0,1,imnv,simulated
27.01,5.17,7.62,7.33,3.716,79.38,44.0,1910.77,21.04,1,0,1,87,Philippines,Dry,12,2021,0.442,0.63,0,imnv,simulated
27.17,26.12,8.57,9.43,1.053,90.92,18.18,2887.15,6.37,1,1,1,79,Vietnam,Wet,11,2022,0.314,0.84,1,imnv,simulated
30.66,33.5,8.81,9.34,3.031,32.4,10.2,4447.02,18.83,1,1,1,156,Philippines,Dry,9,2022,0.574,0.59,1,imnv,simulated
33.33,32.8,6.45,4.85,0.199,169.59,57.87,2761.3,16.51,1,1,0,66,Malaysia,Wet,1,2022,0.369,0.42,0,imnv,simulated
24.69,20.57,7.36,5.29,0.078,68.49,26.54,183.97,3.35,0,1,0,105,Malaysia,Wet,3,2020,0.189,0.41,0,imnv,simulated
26.0,17.05,7.21,5.41,0.097,307.46,73.29,3096.43,11.13,0,0,1,164,Malaysia,Wet,8,2018,0.212,0.81,1,imnv,simulated
20.14,34.18,8.28,4.82,1.806,40.68,13.76,690.63,15.75,1,0,0,89,Malaysia,Wet,5,2023,0.503,0.54,1,imnv,simulated
22.12,20.51,8.65,9.65,2.096,311.7,73.01,3006.52,6.23,0,0,1,151,Indonesia,Wet,10,2021,0.436,0.79,0,imnv,simulated
30.71,7.31,8.59,6.34,3.884,97.13,155.15,636.92,17.16,0,0,0,63,Philippines,Wet,11,2023,0.637,0.79,1,imnv,simulated
34.13,34.18,8.23,8.46,2.07,95.78,109.96,1803.84,7.89,1,1,1,147,Vietnam,Dry,1,2018,0.403,0.74,0,imnv,simulated
26.24,33.55,8.09,7.79,1.814,468.7,82.59,1345.69,19.11,1,0,0,161,China,Wet,7,2019,0.374,0.99,1,imnv,simulated
22.74,22.05,7.9,7.21,0.175,89.54,83.49,933.15,2.24,0,1,0,151,India,Wet,5,2021,0.179,0.46,0,imnv,simulated
34.09,26.26,7.87,5.12,3.774,52.42,33.73,1687.98,2.95,1,1,1,89,Vietnam,Wet,10,2019,0.558,0.68,0,imnv,simulated
30.65,2.39,6.39,8.27,2.337,308.99,85.97,3007.63,5.85,0,0,0,42,Vietnam,Wet,6,2019,0.502,0.79,0,imnv,simulated
23.0,18.08,7.98,7.88,3.899,403.36,37.05,2992.73,4.97,0,0,1,116,Philippines,Dry,2,2019,0.484,0.38,0,imnv,simulated
25.3,7.77,6.64,5.22,2.102,341.81,16.65,4381.06,19.85,0,1,0,31,India,Wet,7,2023,0.536,0.44,0,imnv,simulated
25.72,29.4,8.69,7.43,3.139,215.95,159.43,221.4,27.48,1,0,1,36,Vietnam,Dry,10,2019,0.617,0.94,1,imnv,simulated
33.32,34.05,6.2,7.1,4.134,294.53,33.57,808.4,12.14,1,0,0,33,Philippines,Wet,3,2022,0.647,0.64,0,imnv,simulated
26.95,9.18,7.36,9.42,1.124,396.5,187.76,3007.13,18.79,0,1,0,55,Malaysia,Dry,6,2023,0.168,0.53,0,imnv,simulated
34.65,27.69,7.39,2.13,2.148,67.78,99.09,3184.36,28.7,0,1,1,69,Vietnam,Dry,6,2020,0.519,0.72,0,imnv,simulated
30.38,26.0,8.37,7.97,0.007,322.37,34.28,3086.62,16.95,1,1,0,117,China,Dry,6,2019,0.213,0.57,0,imnv,simulated
27.41,1.85,7.04,6.02,3.73,261.45,84.06,960.94,13.83,1,1,1,169,Vietnam,Dry,10,2018,0.543,0.78,1,imnv,simulated
28.61,21.89,9.0,3.82,0.856,269.7,15.15,4685.49,4.48,1,0,1,88,China,Wet,8,2018,0.551,0.91,1,imnv,simulated
20.62,32.68,8.25,3.67,0.395,402.75,102.28,2838.98,28.47,1,0,0,173,China,Wet,4,2022,0.38,0.76,1,imnv,simulated
21.49,27.84,7.68,5.32,1.606,277.14,151.82,927.72,12.37,1,0,0,126,Malaysia,Wet,5,2019,0.364,0.88,1,imnv,simulated
20.89,20.67,7.41,5.78,4.232,332.81,175.97,1795.04,10.22,0,0,1,125,Indonesia,Wet,1,2023,0.489,0.73,1,imnv,simulated
23.43,13.08,7.32,6.88,3.522,444.13,187.18,1743.76,14.01,1,0,1,148,Philippines,Dry,1,2018,0.467,0.83,1,imnv,simulated
26.47,19.36,6.92,6.19,3.159,411.47,47.62,3101.11,15.38,1,1,1,42,Thailand,Wet,6,2022,0.557,0.84,1,imnv,simulated
27.64,2.3,6.51,8.62,0.643,221.2,181.75,397.96,15.96,0,1,1,140,Indonesia,Wet,3,2019,0.282,0.62,1,imnv,simulated
34.95,20.36,6.56,5.53,3.493,425.82,183.19,3129.93,11.15,1,0,1,106,Philippines,Dry,7,2022,0.639,0.99,1,imnv,simulated
21.41,12.15,7.04,9.14,2.005,41.4,182.27,1249.28,18.67,0,0,0,134,Thailand,Dry,5,2022,0.328,0.58,0,imnv,simulated
26.2,3.84,6.88,3.66,1.674,296.75,190.13,127.36,14.95,1,0,1,81,Indonesia,Wet,3,2020,0.501,1.0,1,imnv,simulated
24.99,1.11,7.02,7.31,2.676,168.14,125.16,4950.53,5.39,1,1,0,117,Malaysia,Wet,2,2023,0.467,0.83,1,imnv,simulated
20.69,5.84,7.45,6.39,2.854,53.75,174.66,122.81,1.58,0,1,0,106,Thailand,Wet,7,2019,0.446,0.43,1,imnv,simulated
27.32,24.91,6.23,6.48,0.94,140.14,38.14,1325.55,29.29,1,1,0,43,Philippines,Dry,1,2023,0.433,0.57,1,imnv,simulated
23.09,20.77,8.71,4.72,2.328,498.12,105.11,2001.2,12.15,1,1,1,68,China,Dry,3,2023,0.636,0.79,1,imnv,simulated
28.56,21.57,8.88,7.95,0.035,302.49,136.17,3626.79,3.79,1,1,1,93,India,Wet,10,2021,0.302,0.97,1,imnv,simulated
22.77,26.62,8.2,7.27,3.298,365.34,67.27,336.54,14.94,1,1,0,102,China,Dry,3,2018,0.541,0.49,1,imnv,simulated
23.64,18.22,8.25,8.04,0.055,75.84,170.65,3118.8,26.0,0,0,1,152,Indonesia,Dry,5,2022,0.196,0.57,0,imnv,simulated
21.45,34.02,8.37,5.14,0.897,88.44,106.66,4034.47,10.4,0,0,0,163,India,Wet,11,2018,0.407,0.47,0,imnv,simulated
28.28,31.81,7.59,8.47,1.759,457.94,117.14,2816.74,3.92,0,0,1,102,China,Wet,12,2023,0.261,0.78,1,imnv,simulated
21.88,25.23,8.83,2.21,0.892,439.58,171.69,2678.9,1.56,1,1,1,61,China,Dry,10,2018,0.58,0.76,1,imnv,simulated
23.37,31.91,8.42,9.5,0.779,320.02,135.38,4252.9,25.74,0,0,0,163,India,Wet,5,2020,0.257,0.47,0,imnv,simulated
34.21,34.52,6.83,8.23,4.368,419.19,56.3,4982.49,28.84,0,0,0,176,Indonesia,Dry,2,2018,0.504,0.34,1,imnv,simulated
29.84,7.28,8.49,2.16,2.824,212.21,183.68,1780.16,2.05,0,1,0,156,India,Wet,12,2019,0.74,0.78,1,imnv,simulated
27.73,3.47,7.81,4.51,1.909,379.98,77.81,2895.76,1.33,0,0,0,85,Philippines,Dry,6,2022,0.447,0.63,1,imnv,simulated
24.94,17.93,7.14,3.14,0.663,72.5,127.66,2528.17,22.49,1,1,0,80,Malaysia,Wet,2,2019,0.362,0.95,1,imnv,simulated
23.47,20.4,8.54,2.03,0.397,144.94,61.06,339.15,5.39,1,0,0,169,Malaysia,Wet,3,2018,0.483,0.66,1,imnv,simulated
34.35,6.72,8.53,9.36,3.791,170.36,102.86,413.3,27.81,1,0,0,34,Philippines,Dry,10,2023,0.526,0.79,0,imnv,simulated
27.03,17.83,8.49,5.73,2.434,377.11,27.53,2406.51,20.47,0,0,0,35,Philippines,Wet,12,2023,0.578,0.69,1,imnv,simulated
