water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,ems_ahpnd_outbreak,disease_type,data_source
27.84,0.85,8.16,7.11,2.919,167.8,89.92,927.08,21.29,0,1,1,97,Philippines,Dry,3,2021,0.531,0.31,0,ems_ahpnd,simulated
33.59,7.81,8.58,3.5,2.606,65.32,156.02,4222.77,27.35,1,1,0,98,Thailand,Wet,10,2018,0.686,1.0,1,ems_ahpnd,simulated
33.01,8.83,8.76,5.74,1.705,91.05,156.14,1586.42,25.34,1,1,0,135,Philippines,Dry,8,2018,0.541,1.0,1,ems_ahpnd,simulated
26.92,8.66,8.06,3.15,2.767,163.85,132.06,242.91,18.79,1,0,0,120,China,Wet,11,2020,0.629,1.0,1,ems_ahpnd,simulated
27.9,1.52,7.25,4.5,2.298,149.06,52.91,3365.8,3.57,1,1,0,156,Philippines,Dry,6,2019,0.48,0.43,0,ems_ahpnd,simulated
28.11,22.3,8.62,3.02,1.281,63.4,166.96,4037.02,16.23,0,1,0,78,Indonesia,Dry,2,2020,0.562,1.0,1,ems_ahpnd,simulated
30.5,12.35,7.22,8.46,0.494,322.36,119.95,635.15,19.62,1,1,0,175,Malaysia,Dry,3,2023,0.153,1.0,1,ems_ahpnd,simulated
27.6,22.83,8.82,4.51,1.252,280.03,180.08,140.15,2.97,1,1,0,64,India,Wet,2,2023,0.542,0.91,0,ems_ahpnd,simulated
25.78,17.57,7.01,8.62,3.008,416.53,28.26,2309.38,8.14,1,0,0,79,Thailand,Dry,10,2019,0.461,0.68,1,ems_ahpnd,simulated
32.93,9.15,6.29,6.94,1.945,277.92,66.13,857.31,16.95,1,1,1,112,Vietnam,Wet,6,2023,0.52,1.0,1,ems_ahpnd,simulated
34.49,18.36,8.79,3.9,4.393,160.12,43.9,2128.87,29.63,0,1,0,60,China,Dry,12,2018,0.752,0.88,1,ems_ahpnd,simulated
20.01,32.47,7.37,3.23,4.86,432.63,149.87,3185.18,23.58,0,0,0,32,India,Dry,9,2018,0.581,0.7,1,ems_ahpnd,simulated
31.45,19.99,6.51,3.33,4.365,295.16,81.91,3272.94,5.02,1,1,0,119,China,Dry,9,2022,0.721,1.0,1,ems_ahpnd,simulated
20.04,27.25,8.68,5.63,0.67,331.58,168.05,3503.22,9.25,0,1,0,115,Philippines,Dry,10,2020,0.417,0.4,1,ems_ahpnd,simulated
33.23,7.01,7.75,9.17,4.1,243.66,134.45,3117.25,10.53,0,0,0,88,Vietnam,Wet,9,2020,0.403,1.0,1,ems_ahpnd,simulated
26.83,33.82,8.68,7.2,1.313,327.4,133.05,4098.6,2.92,1,0,0,119,Indonesia,Wet,4,2020,0.436,1.0,1,ems_ahpnd,simulated
29.54,20.55,6.26,7.76,3.007,379.0,196.33,4388.71,25.75,1,0,1,149,Philippines,Wet,11,2023,0.615,1.0,1,ems_ahpnd,simulated
20.63,16.25,8.34,6.06,3.411,344.86,62.22,4268.97,27.66,0,0,0,151,Malaysia,Dry,5,2022,0.605,0.51,1,ems_ahpnd,simulated
27.74,18.76,7.45,6.7,0.215,22.06,175.06,2162.35,16.58,1,1,0,156,Malaysia,Dry,1,2018,0.142,0.72,1,ems_ahpnd,simulated
29.93,12.44,8.41,2.64,4.517,142.61,49.96,3837.2,19.93,1,1,1,67,Malaysia,Dry,6,2020,0.73,1.0,1,ems_ahpnd,simulated
33.57,26.58,8.62,5.37,0.122,343.79,61.02,4107.96,21.87,0,0,1,173,Thailand,Dry,7,2019,0.355,0.6,0,ems_ahpnd,simulated
24.1,6.55,7.86,9.85,1.427,241.75,17.06,763.56,27.34,0,0,1,144,Vietnam,Wet,5,2023,0.224,0.58,0,ems_ahpnd,simulated
20.76,32.86,8.43,5.78,2.423,79.67,64.58,2448.1,8.67,1,0,0,166,Vietnam,Wet,3,2021,0.565,0.71,1,ems_ahpnd,simulated
29.05,33.07,6.28,8.28,0.284,358.06,167.61,1324.24,19.23,1,0,0,97,China,Dry,11,2018,0.292,1.0,1,ems_ahpnd,simulated
22.92,11.06,8.6,5.81,1.721,124.6,196.98,4148.04,29.78,0,1,1,118,India,Wet,6,2023,0.514,0.86,1,ems_ahpnd,simulated
24.98,14.48,6.97,5.07,2.703,12.24,191.73,3834.8,8.02,1,0,1,109,China,Wet,4,2018,0.553,1.0,1,ems_ahpnd,simulated
20.81,12.02,6.78,7.13,1.703,124.66,64.29,3146.35,10.47,1,1,1,146,Thailand,Wet,12,2018,0.405,0.81,1,ems_ahpnd,simulated
25.58,11.51,8.24,3.7,0.979,20.19,124.64,1740.83,3.18,0,0,1,60,Vietnam,Wet,11,2020,0.442,0.92,1,ems_ahpnd,simulated
24.89,9.78,6.53,6.2,0.516,95.48,178.06,3273.67,8.66,1,1,0,50,Philippines,Dry,12,2018,0.346,0.8,1,ems_ahpnd,simulated
26.62,27.43,6.88,8.54,1.895,414.91,113.65,4863.25,25.98,1,0,1,55,Indonesia,Dry,7,2023,0.363,0.96,1,ems_ahpnd,simulated
24.07,8.85,7.81,9.75,1.529,239.98,142.48,2632.22,17.47,1,0,1,53,Malaysia,Wet,7,2021,0.23,1.0,1,ems_ahpnd,simulated
30.91,18.32,6.17,4.34,0.406,309.16,130.55,896.56,2.02,1,0,0,112,Vietnam,Dry,7,2019,0.455,1.0,1,ems_ahpnd,simulated
24.78,29.61,6.9,3.12,3.141,399.9,152.97,1579.77,10.08,1,1,1,176,Indonesia,Wet,2,2022,0.663,1.0,1,ems_ahpnd,simulated
26.24,3.17,6.1,6.15,2.255,104.85,158.45,3505.13,7.25,1,0,0,90,China,Wet,10,2020,0.612,1.0,1,ems_ahpnd,simulated
23.03,28.38,8.08,2.45,3.746,144.49,70.66,2549.72,27.51,1,0,1,99,China,Dry,2,2020,0.682,0.78,0,ems_ahpnd,simulated
24.24,4.39,8.46,3.61,2.479,27.36,49.05,2376.89,19.02,0,0,0,41,India,Dry,8,2023,0.648,0.48,1,ems_ahpnd,simulated
32.46,9.58,6.62,7.44,0.01,324.78,193.62,3761.82,29.11,0,0,1,131,Indonesia,Dry,7,2023,0.233,1.0,1,ems_ahpnd,simulated
28.89,19.15,8.83,2.3,0.855,75.37,78.4,3638.08,2.64,0,1,0,151,Vietnam,Dry,7,2023,0.573,0.72,0,ems_ahpnd,simulated
25.49,9.21,8.23,7.27,2.68,84.74,19.75,4429.76,4.25,0,1,1,150,Vietnam,Dry,1,2020,0.51,0.46,0,ems_ahpnd,simulated
33.91,32.65,8.41,9.17,0.227,202.8,24.6,668.03,6.77,0,0,1,123,Malaysia,Dry,6,2021,0.205,0.6,0,ems_ahpnd,simulated
22.48,9.38,7.52,2.29,1.87,281.2,181.49,4963.94,6.76,1,1,1,132,Vietnam,Wet,9,2022,0.468,1.0,1,ems_ahpnd,simulated
31.55,19.48,8.65,6.9,3.89,148.54,160.14,2941.26,1.27,1,1,1,83,China,Dry,1,2022,0.628,1.0,1,ems_ahpnd,simulated
34.6,33.93,7.22,5.11,2.89,144.47,67.76,2334.16,27.27,0,0,1,110,Thailand,Wet,11,2021,0.531,0.78,0,ems_ahpnd,simulated
25.21,11.31,7.79,6.9,4.832,19.46,85.57,2721.05,11.91,1,0,0,81,Vietnam,Wet,1,2019,0.485,0.78,1,ems_ahpnd,simulated
20.27,13.98,8.07,6.59,4.337,413.31,171.99,2399.73,25.37,0,1,0,117,Philippines,Dry,2,2023,0.542,0.71,0,ems_ahpnd,simulated
34.73,5.14,6.15,8.69,2.738,54.41,164.99,1159.86,16.61,0,1,0,63,Malaysia,Wet,5,2020,0.573,1.0,1,ems_ahpnd,simulated
23.92,20.81,6.51,3.92,0.743,345.67,157.06,373.06,0.82,0,0,1,164,Philippines,Dry,11,2022,0.45,0.67,0,ems_ahpnd,simulated
23.97,8.25,6.18,6.69,2.442,47.94,187.08,1744.69,22.77,1,1,0,154,India,Dry,5,2022,0.602,0.96,1,ems_ahpnd,simulated
30.44,9.62,8.21,8.4,1.429,449.81,112.1,4835.91,25.81,1,1,1,85,India,Dry,1,2020,0.33,1.0,1,ems_ahpnd,simulated
20.0,16.27,7.79,5.14,4.481,118.74,20.4,2477.26,5.63,0,1,1,150,China,Dry,2,2021,0.544,0.38,0,ems_ahpnd,simulated
33.99,27.33,7.29,6.7,1.457,405.83,137.02,2903.73,21.23,1,0,0,106,Vietnam,Dry,5,2018,0.307,1.0,1,ems_ahpnd,simulated
28.91,5.8,8.97,9.57,4.271,98.4,146.94,505.3,15.0,1,0,0,85,Indonesia,Dry,3,2021,0.593,1.0,1,ems_ahpnd,simulated
20.41,20.33,8.12,9.35,4.091,21.18,146.63,569.89,8.34,0,0,1,116,Vietnam,Dry,3,2022,0.458,0.71,1,ems_ahpnd,simulated
25.55,15.5,6.08,7.32,3.225,110.26,144.18,4534.77,20.92,1,0,1,136,Vietnam,Dry,11,2019,0.659,1.0,1,ems_ahpnd,simulated
24.18,12.33,6.59,4.74,4.095,363.7,186.54,1248.02,21.47,1,1,0,35,Indonesia,Dry,10,2018,0.66,0.96,1,ems_ahpnd,simulated
24.02,19.65,7.08,4.76,2.544,495.65,75.62,4554.72,3.87,0,0,0,31,India,Dry,7,2022,0.527,0.43,0,ems_ahpnd,simulated
21.05,15.25,8.44,6.02,1.49,340.64,64.17,3623.57,22.6,0,0,1,170,Vietnam,Wet,7,2023,0.455,0.66,0,ems_ahpnd,simulated
20.62,22.33,7.14,3.09,4.192,229.04,188.36,4682.34,0.02,0,1,0,124,China,Wet,2,2023,0.624,0.7,0,ems_ahpnd,simulated
31.19,2.17,8.25,4.94,3.694,88.97,67.62,451.36,12.68,1,1,1,159,Thailand,Wet,12,2018,0.627,1.0,1,ems_ahpnd,simulated
26.03,16.94,6.75,5.39,1.333,420.68,170.05,1692.06,5.96,0,0,1,111,Indonesia,Dry,7,2019,0.427,0.86,1,ems_ahpnd,simulated
24.42,7.72,8.61,7.56,4.528,420.56,199.03,1117.99,2.14,0,1,0,60,Thailand,Dry,11,2020,0.6,0.71,0,ems_ahpnd,simulated
26.17,8.66,8.73,6.95,4.466,182.58,148.06,4746.15,22.42,0,0,1,71,Malaysia,Wet,10,2020,0.64,0.96,1,ems_ahpnd,simulated
26.57,16.22,7.3,7.2,3.34,145.24,41.03,2126.53,28.09,0,0,1,37,India,Dry,1,2023,0.46,0.48,0,ems_ahpnd,simulated
31.0,3.82,6.88,8.71,1.45,385.69,80.66,3069.41,8.92,0,0,0,160,India,Wet,10,2023,0.307,0.81,1,ems_ahpnd,simulated
20.38,8.97,6.21,2.44,4.845,361.55,93.47,3523.3,20.63,1,0,0,102,Philippines,Dry,12,2018,0.8,0.88,0,ems_ahpnd,simulated
24.34,31.09,6.26,2.59,2.292,335.62,62.15,4842.05,2.25,1,1,0,85,Thailand,Wet,9,2023,0.708,0.73,1,ems_ahpnd,simulated
28.24,1.36,7.25,8.17,2.224,404.93,133.02,1409.64,7.95,0,1,0,115,India,Dry,6,2022,0.35,0.83,1,ems_ahpnd,simulated
30.79,32.6,7.42,7.48,0.325,389.22,112.58,662.81,28.94,0,0,0,141,Vietnam,Wet,5,2018,0.133,0.87,1,ems_ahpnd,simulated
25.55,6.75,6.34,5.14,3.236,210.93,71.87,3195.84,28.61,1,0,1,119,Vietnam,Dry,1,2023,0.689,0.81,1,ems_ahpnd,simulated
27.49,2.6,6.44,5.51,1.61,15.92,133.11,1600.29,24.41,0,1,0,170,Philippines,Wet,1,2023,0.505,0.66,0,ems_ahpnd,simulated
26.43,20.75,6.95,9.56,4.063,203.75,28.84,173.18,27.92,0,0,0,98,China,Dry,10,2018,0.44,0.36,0,ems_ahpnd,simulated
27.58,5.77,8.16,6.99,4.707,55.3,160.35,765.02,21.02,0,1,1,49,Indonesia,Wet,3,2022,0.544,0.86,1,ems_ahpnd,simulated
23.97,6.71,8.12,8.57,0.743,213.19,132.51,2448.1,15.98,1,1,1,101,Philippines,Dry,1,2018,0.234,0.85,1,ems_ahpnd,simulated
34.28,5.99,7.92,3.09,4.39,74.21,61.51,194.23,12.78,1,1,0,128,India,Wet,2,2022,0.634,1.0,1,ems_ahpnd,simulated
20.05,24.19,6.4,9.69,2.517,396.19,130.28,507.9,20.84,0,0,0,120,India,Dry,9,2018,0.473,0.66,1,ems_ahpnd,simulated
23.73,15.13,6.25,7.68,3.215,8.08,94.78,4875.52,4.53,1,0,0,127,Malaysia,Wet,11,2018,0.619,0.86,1,ems_ahpnd,simulated
32.95,33.29,7.27,2.88,0.437,482.13,115.39,108.06,7.18,0,0,1,130,India,Dry,1,2021,0.324,0.94,1,ems_ahpnd,simulated
26.26,31.08,6.62,8.53,2.978,485.09,18.37,2016.11,12.13,1,1,0,117,Indonesia,Dry,11,2022,0.527,0.51,1,ems_ahpnd,simulated
20.55,29.1,6.15,6.87,2.742,21.53,128.89,1015.41,1.44,0,1,1,140,Indonesia,Wet,10,2018,0.634,0.71,1,ems_ahpnd,simulated
24.32,2.36,6.38,3.69,0.329,24.09,12.44,982.29,19.07,0,1,1,53,Philippines,Dry,9,2023,0.434,0.27,1,ems_ahpnd,simulated
33.47,10.87,8.63,3.68,2.467,131.76,12.73,756.27,28.36,1,1,1,174,China,Dry,8,2018,0.673,1.0,1,ems_ahpnd,simulated
24.99,0.82,8.08,7.34,0.203,94.14,103.8,3244.26,5.97,0,1,1,120,Malaysia,Dry,10,2019,0.208,0.45,1,ems_ahpnd,simulated
30.74,8.67,7.68,2.29,0.989,291.62,50.45,2528.94,16.66,1,1,1,150,Indonesia,Dry,2,2020,0.397,0.94,1,ems_ahpnd,simulated
23.72,23.15,8.94,5.95,1.01,467.04,104.33,2638.79,5.12,1,0,0,83,India,Dry,2,2018,0.487,0.91,1,ems_ahpnd,simulated
29.51,28.08,6.02,3.22,1.197,453.31,164.42,2084.57,17.92,0,1,1,155,Malaysia,Wet,7,2018,0.606,1.0,1,ems_ahpnd,simulated
28.44,17.45,7.19,4.5,4.479,23.99,52.44,2990.91,22.35,1,0,1,66,Vietnam,Dry,12,2021,0.568,1.0,1,ems_ahpnd,simulated
26.66,15.1,6.06,4.15,3.241,428.6,17.14,3648.43,0.58,0,1,1,121,Malaysia,Wet,3,2022,0.768,0.56,0,ems_ahpnd,simulated
30.61,20.57,7.15,6.06,2.004,125.09,195.81,2923.04,6.52,0,1,1,120,Vietnam,Dry,1,2022,0.412,0.88,1,ems_ahpnd,simulated
28.12,19.48,7.23,8.28,1.519,127.51,149.06,4251.4,20.09,1,0,1,39,Philippines,Dry,6,2022,0.271,1.0,1,ems_ahpnd,simulated
23.34,25.84,7.81,5.54,3.769,52.34,145.91,3304.23,5.39,0,0,0,103,Philippines,Dry,8,2023,0.534,0.58,1,ems_ahpnd,simulated
31.94,5.5,6.61,5.2,4.753,39.21,23.18,4884.85,28.8,0,1,1,133,Malaysia,Dry,10,2022,0.642,0.81,1,ems_ahpnd,simulated
21.33,13.23,8.68,8.99,2.528,310.84,105.39,884.32,9.31,1,1,1,171,Vietnam,Dry,6,2022,0.511,1.0,1,ems_ahpnd,simulated
29.58,1.45,7.98,7.78,3.13,8.88,54.19,2913.88,11.98,0,1,1,129,Philippines,Dry,2,2022,0.487,0.58,0,ems_ahpnd,simulated
24.41,18.59,8.99,3.1,3.556,396.83,197.76,998.21,16.68,0,0,1,81,Thailand,Wet,8,2018,0.812,1.0,1,ems_ahpnd,simulated
31.97,3.65,6.13,4.33,2.634,248.1,90.72,212.09,10.77,0,0,1,111,Thailand,Dry,9,2022,0.71,0.76,1,ems_ahpnd,simulated
34.88,26.04,7.04,8.03,2.54,99.65,104.27,2652.29,9.13,1,1,0,119,Thailand,Wet,4,2020,0.425,1.0,1,ems_ahpnd,simulated
21.99,28.73,7.78,8.61,0.298,355.49,20.55,2590.97,13.42,1,1,0,38,China,Wet,12,2019,0.126,0.37,1,ems_ahpnd,simulated
31.93,29.76,7.9,8.55,3.565,326.16,84.57,2316.47,6.52,1,0,1,76,Indonesia,Wet,2,2020,0.448,1.0,1,ems_ahpnd,simulated
31.47,3.26,7.3,3.79,3.079,218.37,144.67,3242.2,15.25,0,1,0,136,Indonesia,Wet,8,2018,0.574,1.0,1,ems_ahpnd,simulated
30.43,23.84,8.23,5.79,0.301,193.41,59.48,4570.82,0.88,1,1,0,126,Indonesia,Dry,1,2023,0.295,0.7,1,ems_ahpnd,simulated
30.93,5.43,7.24,6.09,1.011,424.5,72.71,3042.5,27.62,0,1,0,172,India,Wet,7,2021,0.286,0.78,1,ems_ahpnd,simulated
20.0,7.85,8.82,5.77,0.607,172.28,178.33,2313.35,19.76,0,0,0,137,China,Wet,7,2023,0.428,0.75,0,ems_ahpnd,simulated
22.71,7.8,8.0,5.83,1.942,227.14,154.71,1771.14,24.75,0,0,1,179,Malaysia,Dry,8,2022,0.438,0.78,1,ems_ahpnd,simulated
25.37,8.29,7.97,7.03,0.848,342.92,172.65,1383.82,1.01,1,1,1,131,Indonesia,Dry,11,2022,0.272,0.77,0,ems_ahpnd,simulated
30.62,33.84,6.2,6.5,3.275,192.55,141.33,3072.74,25.04,0,1,0,160,Philippines,Wet,3,2023,0.667,1.0,1,ems_ahpnd,simulated
27.79,2.2,8.63,8.15,2.589,135.71,194.76,3913.38,6.74,0,1,0,170,Indonesia,Wet,3,2020,0.538,0.66,0,ems_ahpnd,simulated
20.91,21.54,8.99,4.08,4.438,382.33,67.29,2179.13,15.75,0,1,1,81,China,Wet,3,2023,0.779,0.41,0,ems_ahpnd,simulated
24.61,28.18,6.31,4.81,2.749,96.76,158.59,2731.38,10.24,1,0,1,70,Thailand,Wet,7,2019,0.677,1.0,1,ems_ahpnd,simulated
32.67,8.21,7.58,5.96,0.315,10.03,131.56,1155.95,2.26,0,1,1,136,China,Dry,3,2021,0.183,0.87,1,ems_ahpnd,simulated
30.11,13.9,8.17,6.18,2.886,366.14,101.11,4620.41,5.17,0,0,0,109,India,Dry,5,2019,0.56,1.0,1,ems_ahpnd,simulated
29.78,31.14,7.66,5.52,4.935,227.92,84.56,2271.3,19.14,1,1,0,115,India,Wet,3,2023,0.509,0.88,1,ems_ahpnd,simulated
24.73,5.3,7.51,9.85,0.129,310.11,65.54,443.89,23.32,0,1,1,98,Vietnam,Wet,2,2021,0.021,0.32,0,ems_ahpnd,simulated
25.19,11.01,8.98,8.86,4.743,278.69,167.06,1732.91,13.34,0,1,0,141,India,Wet,7,2023,0.618,0.81,0,ems_ahpnd,simulated
29.09,28.93,6.35,2.78,4.239,450.87,66.57,1294.56,5.89,1,1,0,119,Indonesia,Dry,6,2019,0.766,0.98,1,ems_ahpnd,simulated
30.42,25.82,8.17,3.4,3.664,16.53,40.49,4744.92,20.94,1,1,0,104,Philippines,Wet,8,2022,0.665,1.0,1,ems_ahpnd,simulated
23.49,24.6,7.44,4.88,2.664,362.78,80.24,1061.27,1.23,1,0,1,108,Indonesia,Wet,7,2019,0.477,0.68,0,ems_ahpnd,simulated
29.24,18.05,8.41,9.78,2.185,216.79,89.68,4273.43,9.01,1,1,0,37,Malaysia,Wet,3,2019,0.402,1.0,1,ems_ahpnd,simulated
32.89,26.65,7.69,7.07,1.885,354.85,14.37,788.96,29.77,1,0,0,49,Thailand,Dry,8,2020,0.339,0.88,1,ems_ahpnd,simulated
23.19,26.64,7.89,2.4,3.01,241.66,180.94,392.79,17.37,0,1,0,60,Thailand,Dry,4,2018,0.652,0.6,1,ems_ahpnd,simulated
30.85,21.53,6.58,8.05,4.86,440.16,184.19,613.79,26.66,1,1,1,155,India,Dry,9,2021,0.552,1.0,1,ems_ahpnd,simulated
20.91,21.98,7.16,2.28,1.187,155.18,193.72,250.94,25.93,1,1,1,163,Thailand,Dry,4,2023,0.446,0.9,1,ems_ahpnd,simulated
33.04,9.6,8.75,5.33,4.579,246.8,47.25,601.55,26.47,0,1,1,177,Indonesia,Dry,2,2022,0.697,0.81,1,ems_ahpnd,simulated
27.11,25.74,6.32,5.03,4.956,442.59,161.87,331.24,25.93,0,1,1,46,India,Wet,12,2020,0.696,0.71,1,ems_ahpnd,simulated
20.27,29.43,7.11,6.59,2.71,101.99,85.6,4515.11,29.7,0,1,0,57,China,Dry,11,2020,0.48,0.18,0,ems_ahpnd,simulated
31.13,0.63,7.16,3.68,1.497,315.83,196.78,3310.59,26.85,1,0,0,45,Thailand,Wet,2,2018,0.434,1.0,1,ems_ahpnd,simulated
25.02,28.14,8.95,8.33,1.794,89.53,156.5,4829.64,22.35,1,0,1,156,Thailand,Wet,5,2021,0.497,1.0,1,ems_ahpnd,simulated
30.51,11.29,8.94,2.78,2.023,366.11,40.97,1485.79,25.3,1,1,0,50,Malaysia,Dry,4,2020,0.705,1.0,1,ems_ahpnd,simulated
29.4,8.21,7.93,6.63,3.468,407.16,86.07,2258.98,0.8,1,0,0,159,China,Wet,9,2023,0.517,1.0,1,ems_ahpnd,simulated
25.68,30.64,6.13,7.56,0.946,130.21,122.08,260.28,23.79,0,1,1,153,Philippines,Dry,12,2022,0.415,0.45,0,ems_ahpnd,simulated
28.16,6.71,6.07,5.62,1.031,41.27,19.83,4839.1,23.7,1,1,1,82,Malaysia,Dry,5,2021,0.499,1.0,1,ems_ahpnd,simulated
34.21,2.72,6.57,9.8,3.614,174.54,134.23,4628.58,0.43,0,0,0,92,Malaysia,Wet,8,2018,0.495,1.0,1,ems_ahpnd,simulated
20.04,33.89,7.54,4.86,3.641,54.58,171.56,4830.92,4.05,0,1,0,32,China,Wet,6,2023,0.511,0.58,1,ems_ahpnd,simulated
24.9,8.72,7.72,3.17,4.209,215.68,61.6,595.53,4.66,1,0,0,44,Philippines,Dry,3,2023,0.598,0.8,1,ems_ahpnd,simulated
22.18,8.95,7.49,5.45,0.553,442.41,68.5,4850.66,4.73,0,1,1,64,Malaysia,Wet,3,2018,0.215,0.32,1,ems_ahpnd,simulated
32.27,14.45,8.14,4.39,0.44,351.35,131.05,109.05,1.93,0,0,0,61,India,Wet,7,2022,0.343,1.0,1,ems_ahpnd,simulated
25.53,34.54,7.95,9.25,0.934,274.18,132.96,4923.28,5.76,1,0,1,91,Indonesia,Wet,3,2021,0.204,0.82,1,ems_ahpnd,simulated
27.58,26.25,6.79,6.82,0.279,490.7,107.36,4979.42,21.91,0,1,1,31,Philippines,Wet,9,2019,0.255,0.55,0,ems_ahpnd,simulated
26.54,8.1,6.46,9.62,2.459,42.89,143.03,2503.26,14.01,0,0,1,179,Thailand,Wet,8,2023,0.459,0.96,1,ems_ahpnd,simulated
28.59,26.17,8.25,2.67,1.698,45.54,69.28,1850.71,29.24,1,0,1,95,Vietnam,Wet,3,2019,0.558,1.0,1,ems_ahpnd,simulated
22.97,19.31,6.42,8.22,2.398,321.55,42.6,2720.23,19.89,0,0,0,147,Vietnam,Wet,2,2020,0.506,0.61,0,ems_ahpnd,simulated
23.66,9.19,6.1,7.0,4.205,257.85,31.13,4943.72,3.2,1,1,0,125,Vietnam,Dry,1,2019,0.667,0.66,0,ems_ahpnd,simulated
24.21,2.29,6.05,2.92,1.055,140.85,67.45,1606.41,2.51,0,1,1,158,Malaysia,Dry,6,2020,0.595,0.43,0,ems_ahpnd,simulated
29.26,25.86,8.67,9.73,0.118,330.3,91.21,3728.39,16.9,1,1,1,77,Indonesia,Wet,10,2023,0.217,0.85,1,ems_ahpnd,simulated
31.7,2.72,6.64,2.12,2.239,217.23,65.09,3150.56,13.55,1,1,0,85,Philippines,Wet,1,2022,0.655,1.0,1,ems_ahpnd,simulated
26.64,31.88,7.85,4.26,1.571,329.08,158.38,3211.49,3.84,0,0,0,153,China,Dry,5,2023,0.424,0.58,1,ems_ahpnd,simulated
34.34,12.93,7.71,3.79,3.245,454.89,49.94,2804.35,24.25,0,0,0,134,Thailand,Wet,12,2021,0.575,1.0,1,ems_ahpnd,simulated
33.2,16.51,8.03,9.29,2.067,243.28,102.67,648.83,29.88,1,0,0,60,Indonesia,Wet,8,2022,0.342,1.0,1,ems_ahpnd,simulated
28.74,31.97,7.48,4.58,1.845,461.17,86.12,990.66,9.04,0,1,0,107,Indonesia,Wet,7,2023,0.389,0.63,0,ems_ahpnd,simulated
32.76,15.61,8.44,5.69,2.757,173.2,14.9,3383.28,10.71,1,0,0,157,Philippines,Wet,5,2023,0.607,1.0,1,ems_ahpnd,simulated
20.91,25.67,8.48,8.19,3.012,84.99,68.3,1232.19,18.22,0,1,1,139,Thailand,Wet,9,2020,0.557,0.41,0,ems_ahpnd,simulated
31.79,25.71,6.35,6.31,0.38,33.93,42.07,2499.92,13.22,0,1,1,148,Indonesia,Wet,9,2021,0.357,0.6,0,ems_ahpnd,simulated
25.62,4.39,8.69,7.53,1.212,317.0,29.45,2630.78,24.1,0,1,1,156,Indonesia,Wet,4,2018,0.415,0.41,0,ems_ahpnd,simulated
24.16,26.86,7.9,4.75,2.191,228.39,163.36,3647.01,18.03,0,1,1,44,China,Wet,11,2023,0.485,0.63,1,ems_ahpnd,simulated
34.53,0.94,6.06,5.88,0.519,464.05,29.82,2406.71,28.85,0,0,0,177,Malaysia,Wet,8,2021,0.435,0.65,0,ems_ahpnd,simulated
23.87,12.84,7.03,7.17,3.132,163.26,169.25,2540.53,8.66,1,1,1,69,Malaysia,Wet,3,2020,0.506,1.0,1,ems_ahpnd,simulated
31.23,7.56,6.92,6.04,0.676,76.96,45.12,351.31,2.19,1,1,1,40,India,Dry,6,2021,0.304,0.9,1,ems_ahpnd,simulated
20.93,29.0,8.06,7.79,2.568,209.69,128.35,2311.94,6.96,0,1,0,44,Philippines,Dry,2,2019,0.452,0.56,0,ems_ahpnd,simulated
25.14,25.22,8.97,3.56,0.897,187.24,10.2,3668.61,1.25,1,0,1,168,Philippines,Wet,11,2020,0.559,0.72,1,ems_ahpnd,simulated
23.26,8.75,8.72,2.58,4.527,13.63,16.32,4454.46,5.12,1,1,1,38,Indonesia,Dry,3,2021,0.784,0.83,1,ems_ahpnd,simulated
22.8,29.28,6.36,9.71,2.331,62.3,81.5,2992.18,5.36,1,0,1,163,India,Wet,2,2019,0.459,0.76,0,ems_ahpnd,simulated
30.18,7.41,8.7,3.44,2.476,23.34,64.49,485.48,20.54,1,1,0,72,Vietnam,Wet,10,2020,0.694,1.0,1,ems_ahpnd,simulated
28.96,11.64,7.52,3.54,2.001,466.2,41.23,3665.35,0.99,1,1,1,165,India,Dry,9,2022,0.441,1.0,1,ems_ahpnd,simulated
21.56,28.23,6.1,4.8,3.435,290.27,189.55,2695.19,10.92,0,0,0,149,India,Wet,5,2018,0.74,0.76,1,ems_ahpnd,simulated
27.86,1.05,7.96,7.03,1.32,275.13,125.8,2789.55,12.29,1,0,0,137,Thailand,Wet,12,2023,0.322,0.93,1,ems_ahpnd,simulated
29.47,4.54,7.76,3.57,2.94,234.41,35.13,4450.91,8.94,1,0,1,38,Indonesia,Wet,7,2023,0.584,1.0,1,ems_ahpnd,simulated
22.23,21.38,7.28,8.06,3.246,183.37,65.81,2976.3,1.33,1,0,1,149,China,Dry,10,2019,0.435,0.58,0,ems_ahpnd,simulated
26.88,30.76,6.99,3.64,2.068,413.48,41.99,4751.71,24.53,1,1,1,113,China,Wet,5,2018,0.527,0.78,1,ems_ahpnd,simulated
33.46,12.5,6.26,6.68,0.157,202.3,153.02,3687.04,5.28,0,1,1,48,China,Dry,8,2018,0.335,0.95,1,ems_ahpnd,simulated
21.71,12.17,8.13,7.45,0.893,483.77,24.66,3024.59,28.32,0,0,0,119,Vietnam,Wet,9,2018,0.289,0.45,1,ems_ahpnd,simulated
31.86,16.74,8.79,2.69,2.026,339.82,40.74,3382.46,25.88,1,0,1,140,Thailand,Wet,9,2022,0.684,1.0,1,ems_ahpnd,simulated
