water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,wssv_outbreak,disease_type,data_source
28.99,27.73,6.03,8.33,2.712,409.13,172.02,516.33,4.18,1,0,1,114,India,Dry,1,2019,0.602,1.0,1,wssv,simulated
24.01,19.03,6.06,2.36,2.723,51.28,178.43,2134.89,0.04,0,0,0,139,India,Dry,11,2020,0.797,0.87,1,wssv,simulated
33.83,23.95,8.06,7.72,4.508,245.91,198.25,1200.16,28.69,1,1,0,115,Thailand,Wet,1,2018,0.503,1.0,1,wssv,simulated
22.67,18.57,7.8,7.44,0.751,333.64,67.3,4106.06,10.45,0,1,1,124,Indonesia,Dry,3,2018,0.219,0.3,0,wssv,simulated
22.2,5.17,7.34,8.37,4.882,407.32,31.5,2194.52,21.8,0,0,1,62,Vietnam,Wet,6,2020,0.414,0.47,0,wssv,simulated
27.22,34.05,7.81,7.09,0.691,472.02,185.1,1977.61,16.48,1,0,1,51,Philippines,Wet,10,2022,0.225,1.0,1,wssv,simulated
32.17,7.68,6.26,4.89,1.016,425.3,78.86,2422.24,4.01,0,0,1,122,China,Dry,8,2020,0.49,0.53,1,wssv,simulated
32.8,34.01,8.74,3.94,4.139,27.93,36.18,4814.05,21.12,1,0,1,125,Thailand,Dry,10,2023,0.742,1.0,1,wssv,simulated
32.56,30.47,6.09,4.92,0.395,38.53,118.14,4087.19,4.49,0,1,0,165,Malaysia,Wet,7,2021,0.448,0.66,0,wssv,simulated
26.66,22.57,6.04,2.89,0.3,321.23,124.79,950.54,4.81,1,1,1,171,Malaysia,Wet,9,2022,0.514,1.0,1,wssv,simulated
23.41,32.6,6.82,2.74,1.888,475.54,151.2,2061.97,1.68,1,0,0,149,India,Wet,11,2023,0.565,1.0,1,wssv,simulated
25.71,1.91,7.11,5.39,1.35,52.2,78.91,3916.11,10.06,0,1,0,168,Thailand,Dry,10,2019,0.369,0.47,1,wssv,simulated
33.65,6.57,6.61,9.43,1.202,42.52,118.32,319.89,29.59,1,0,0,110,Thailand,Wet,6,2018,0.301,1.0,1,wssv,simulated
34.38,17.51,6.94,5.13,1.779,64.76,138.19,1723.46,26.9,0,0,0,180,China,Wet,10,2021,0.453,1.0,1,wssv,simulated
20.56,5.64,8.05,2.63,3.13,476.41,54.0,1156.67,20.44,0,0,1,144,China,Dry,5,2020,0.671,0.47,1,wssv,simulated
32.84,15.08,8.67,8.19,1.938,104.41,125.97,467.49,4.57,1,0,0,66,China,Wet,2,2022,0.471,1.0,1,wssv,simulated
26.82,5.94,6.89,2.55,2.883,176.68,23.52,3582.21,13.82,1,1,1,65,Thailand,Wet,6,2018,0.67,1.0,1,wssv,simulated
26.01,30.0,8.75,3.03,1.834,422.42,190.89,1931.05,20.47,1,1,0,44,Malaysia,Dry,9,2023,0.644,1.0,1,wssv,simulated
32.8,10.17,6.47,5.19,0.365,194.11,97.83,558.17,13.98,1,0,0,76,Malaysia,Dry,7,2021,0.373,1.0,1,wssv,simulated
24.93,11.1,8.99,5.89,3.511,238.11,62.89,287.58,4.67,1,0,0,111,Philippines,Dry,7,2022,0.719,0.93,1,wssv,simulated
32.13,27.63,8.94,3.71,1.057,11.47,154.14,2172.31,7.56,0,0,0,47,Indonesia,Wet,5,2018,0.567,0.97,1,wssv,simulated
26.77,14.69,6.64,9.14,0.92,26.87,180.04,2199.82,28.9,1,0,0,119,India,Wet,9,2021,0.274,1.0,1,wssv,simulated
22.41,24.38,7.06,7.54,1.946,4.97,158.78,3025.93,2.33,0,1,1,33,Vietnam,Wet,8,2019,0.372,0.82,0,wssv,simulated
21.7,33.95,7.22,6.17,0.018,225.28,168.18,716.01,13.48,0,0,0,78,India,Dry,7,2022,0.176,0.4,1,wssv,simulated
23.15,6.69,8.04,9.64,1.851,181.9,67.37,1604.13,24.57,0,1,1,135,India,Wet,9,2020,0.308,0.43,1,wssv,simulated
34.61,11.75,8.78,5.67,1.866,276.38,40.9,2235.79,8.55,1,1,0,52,China,Dry,11,2018,0.565,0.98,1,wssv,simulated
33.99,3.63,8.25,6.99,2.724,316.76,105.64,4048.77,20.03,1,0,0,146,Philippines,Wet,4,2018,0.528,1.0,1,wssv,simulated
34.26,12.27,8.38,5.71,4.54,322.43,159.08,2039.46,28.19,0,1,1,97,Indonesia,Wet,4,2023,0.623,1.0,1,wssv,simulated
33.64,1.14,6.08,8.32,4.204,259.48,150.84,1655.61,5.11,1,0,1,79,Philippines,Wet,10,2018,0.626,1.0,1,wssv,simulated
34.09,13.66,8.18,5.22,1.591,79.22,53.88,3579.12,3.79,0,1,1,171,Vietnam,Wet,2,2019,0.449,0.78,1,wssv,simulated
26.56,22.01,7.78,2.22,3.538,460.3,24.97,1973.78,22.27,0,1,1,77,Vietnam,Dry,4,2020,0.639,0.81,1,wssv,simulated
23.68,27.3,8.36,8.16,3.296,137.48,187.65,3174.45,19.15,0,0,1,61,Thailand,Dry,5,2020,0.538,0.63,0,wssv,simulated
21.39,17.3,7.08,8.71,1.954,245.52,14.17,460.52,28.78,0,0,1,126,Indonesia,Wet,3,2019,0.33,0.67,1,wssv,simulated
33.55,23.09,7.89,8.84,0.586,171.41,75.89,4975.09,18.0,0,0,1,61,Vietnam,Dry,1,2022,0.169,0.55,1,wssv,simulated
31.41,7.57,7.09,9.19,0.147,69.28,25.85,3488.85,3.8,1,1,0,53,Indonesia,Wet,12,2021,0.112,0.9,1,wssv,simulated
26.54,33.12,8.77,4.0,0.989,423.02,146.31,4813.17,3.09,1,0,0,154,India,Wet,10,2021,0.522,1.0,1,wssv,simulated
32.24,21.8,7.82,5.43,2.836,186.98,130.21,414.9,5.02,0,1,1,105,Philippines,Wet,1,2021,0.521,0.97,1,wssv,simulated
32.14,15.03,6.56,3.96,1.076,185.83,37.56,1640.82,0.29,0,1,0,149,Philippines,Wet,9,2019,0.478,0.82,1,wssv,simulated
24.25,7.43,6.65,6.49,3.581,473.14,163.41,3389.59,17.22,1,1,1,111,Vietnam,Dry,8,2018,0.592,0.93,1,wssv,simulated
34.85,14.74,6.37,3.37,1.634,191.43,119.52,1496.68,19.31,0,1,1,63,China,Wet,9,2018,0.591,1.0,1,wssv,simulated
20.59,22.57,6.21,2.76,4.013,361.63,62.19,3793.09,12.01,1,1,0,130,Indonesia,Wet,11,2021,0.79,1.0,1,wssv,simulated
21.82,13.09,7.85,2.23,0.239,5.2,29.98,1682.01,20.63,1,0,0,52,Vietnam,Wet,1,2022,0.344,0.99,1,wssv,simulated
33.02,9.09,8.35,2.89,4.736,37.52,72.57,3102.48,24.37,1,0,0,179,India,Dry,6,2019,0.712,0.97,1,wssv,simulated
31.3,31.07,8.9,5.31,2.234,61.19,110.24,2931.64,19.84,1,1,1,87,Thailand,Wet,12,2020,0.638,1.0,1,wssv,simulated
28.38,30.55,7.98,7.88,1.029,39.01,194.64,395.31,0.39,0,1,1,78,India,Dry,4,2020,0.265,0.77,0,wssv,simulated
31.42,17.99,6.94,9.56,3.543,327.64,171.08,617.74,3.9,1,1,1,161,Vietnam,Wet,2,2019,0.441,1.0,1,wssv,simulated
22.46,10.75,8.61,7.19,0.736,438.1,151.55,1278.76,26.82,0,1,0,151,Malaysia,Wet,5,2020,0.36,0.71,1,wssv,simulated
28.25,12.4,6.64,5.18,2.154,166.87,93.85,1911.93,1.47,1,1,0,105,Vietnam,Wet,10,2019,0.543,1.0,1,wssv,simulated
29.11,18.15,6.33,2.4,1.245,55.54,31.89,4485.79,17.26,0,0,0,100,Vietnam,Wet,7,2021,0.587,1.0,1,wssv,simulated
31.01,30.78,6.8,3.65,3.929,173.82,64.72,3021.94,22.02,0,0,1,108,China,Dry,6,2019,0.662,0.77,1,wssv,simulated
22.5,11.63,7.37,9.7,3.33,213.96,13.96,4874.42,26.44,0,0,1,151,Philippines,Dry,4,2021,0.365,0.52,1,wssv,simulated
20.68,0.61,8.04,4.33,1.141,251.57,153.45,3898.76,3.0,1,1,1,119,Philippines,Wet,8,2023,0.406,1.0,1,wssv,simulated
26.88,28.97,6.9,4.67,2.589,331.97,174.37,4234.12,14.53,1,0,0,135,China,Dry,3,2023,0.565,1.0,1,wssv,simulated
20.46,20.22,8.09,5.45,1.032,44.64,184.92,1951.11,3.24,1,1,0,97,Malaysia,Wet,7,2020,0.365,1.0,1,wssv,simulated
34.18,9.67,6.57,6.64,3.509,417.09,33.36,3997.13,17.0,1,1,0,32,India,Dry,11,2021,0.6,0.78,1,wssv,simulated
34.5,21.83,7.99,4.43,1.441,399.89,12.96,300.67,8.49,0,0,1,108,Thailand,Wet,11,2020,0.427,0.82,0,wssv,simulated
20.75,4.82,8.64,8.28,2.51,479.26,116.54,4773.06,21.4,0,0,1,179,Thailand,Wet,1,2019,0.526,0.78,1,wssv,simulated
25.32,28.41,7.91,5.38,4.835,49.07,59.64,1579.91,9.32,1,1,0,81,Indonesia,Dry,9,2021,0.556,0.87,1,wssv,simulated
24.57,10.41,8.78,5.69,0.917,391.2,168.43,570.61,15.8,1,1,1,120,India,Wet,7,2021,0.459,1.0,1,wssv,simulated
33.69,0.92,8.3,2.71,0.703,453.42,159.46,2943.58,11.19,1,0,1,62,India,Dry,9,2021,0.454,1.0,1,wssv,simulated
20.82,1.91,8.49,7.2,1.667,48.7,65.21,2459.19,9.94,0,0,0,82,Philippines,Dry,12,2022,0.444,0.33,0,wssv,simulated
22.05,31.33,7.92,3.24,3.141,359.57,187.94,4047.52,18.71,0,0,0,30,Vietnam,Dry,2,2022,0.629,0.61,1,wssv,simulated
21.55,0.86,7.52,5.13,4.63,149.96,101.91,1001.82,7.05,1,1,0,140,Vietnam,Dry,3,2019,0.499,0.82,1,wssv,simulated
29.86,5.98,8.22,6.37,2.381,145.02,136.83,4799.55,14.79,1,1,1,57,India,Wet,3,2021,0.506,1.0,1,wssv,simulated
26.86,19.75,6.03,4.42,3.226,446.61,127.78,308.9,27.21,0,1,1,100,Thailand,Dry,9,2020,0.764,1.0,1,wssv,simulated
27.55,12.21,8.12,5.12,0.314,327.96,76.85,3624.12,10.18,0,1,1,130,Thailand,Wet,8,2021,0.301,0.81,1,wssv,simulated
22.71,24.8,7.52,7.27,1.296,348.88,121.88,2945.55,17.53,1,0,0,37,China,Dry,2,2019,0.238,1.0,1,wssv,simulated
27.49,23.78,6.97,3.85,3.859,458.63,161.16,616.62,26.42,1,1,0,45,Philippines,Wet,1,2018,0.627,1.0,1,wssv,simulated
21.09,26.72,7.82,8.73,4.618,160.58,142.76,1950.38,29.67,0,0,1,155,India,Wet,4,2019,0.429,0.72,0,wssv,simulated
26.51,18.5,8.37,2.69,0.121,479.92,28.28,262.87,4.22,0,1,1,175,Philippines,Dry,3,2020,0.402,0.75,1,wssv,simulated
34.37,25.49,7.58,3.52,1.037,413.79,105.16,1846.78,26.99,0,0,1,139,Malaysia,Wet,10,2018,0.345,0.96,1,wssv,simulated
31.74,10.44,6.35,3.84,3.007,165.46,52.56,4709.03,27.67,1,1,1,47,China,Dry,2,2020,0.73,1.0,1,wssv,simulated
23.62,18.12,7.83,4.5,3.093,272.97,179.44,2955.59,28.11,1,0,0,116,India,Wet,6,2019,0.572,1.0,1,wssv,simulated
20.89,7.15,8.45,4.64,3.787,456.16,21.84,2518.42,24.17,0,1,0,136,Philippines,Dry,8,2022,0.67,0.23,0,wssv,simulated
24.06,1.46,6.11,6.06,3.252,215.76,67.65,4264.18,29.14,0,0,0,80,Philippines,Wet,11,2023,0.696,0.48,0,wssv,simulated
28.29,1.82,8.3,7.56,2.149,213.42,36.18,2245.97,26.91,1,1,0,117,India,Dry,4,2019,0.453,0.93,1,wssv,simulated
20.15,14.46,8.26,8.46,2.681,22.89,162.34,4378.95,7.5,0,0,0,62,India,Dry,1,2020,0.476,0.78,1,wssv,simulated
29.04,31.16,8.99,3.04,1.989,328.79,134.75,474.25,28.15,0,1,1,86,India,Wet,9,2020,0.701,1.0,1,wssv,simulated
29.8,18.44,6.8,7.58,2.517,27.0,181.08,3556.96,18.66,1,0,0,65,China,Dry,12,2020,0.477,1.0,1,wssv,simulated
21.84,25.37,8.36,2.29,1.176,220.14,155.2,4769.92,0.64,0,1,1,180,India,Wet,1,2018,0.531,0.77,1,wssv,simulated
29.15,17.34,8.59,5.08,0.222,102.87,45.04,2212.32,1.57,1,0,1,36,Philippines,Wet,10,2020,0.37,1.0,1,wssv,simulated
20.41,25.4,7.86,8.93,3.913,464.28,152.96,4056.24,16.6,1,1,1,176,Malaysia,Wet,7,2019,0.429,1.0,1,wssv,simulated
34.89,8.34,8.72,4.25,3.413,137.2,199.77,3879.56,8.87,1,0,1,122,Indonesia,Wet,10,2023,0.728,1.0,1,wssv,simulated
24.6,23.13,8.51,8.78,2.219,8.63,11.69,281.32,10.76,0,1,0,178,Thailand,Wet,9,2022,0.456,0.58,1,wssv,simulated
20.96,6.29,8.3,4.21,4.345,63.61,129.76,819.82,18.54,0,0,0,39,Vietnam,Wet,6,2022,0.66,0.73,1,wssv,simulated
30.76,2.13,8.14,4.07,1.287,339.19,172.92,1831.34,21.55,0,1,0,49,Philippines,Wet,9,2018,0.447,0.93,1,wssv,simulated
23.06,19.96,8.49,7.45,0.357,213.24,63.79,221.0,18.21,1,1,1,125,India,Wet,1,2022,0.29,0.91,1,wssv,simulated
20.67,32.56,8.74,2.2,3.045,404.02,107.05,3926.28,15.25,1,0,1,179,Thailand,Dry,11,2021,0.8,1.0,1,wssv,simulated
21.16,32.74,6.67,6.03,2.872,274.12,89.44,3691.92,25.43,0,1,1,111,Indonesia,Dry,5,2022,0.59,0.53,0,wssv,simulated
24.93,27.97,8.93,3.85,1.574,486.2,141.68,2280.54,28.73,1,1,0,120,Philippines,Dry,11,2020,0.618,0.97,1,wssv,simulated
23.46,27.52,6.69,8.62,4.934,462.86,56.54,4555.4,20.22,0,1,1,117,Indonesia,Dry,7,2018,0.514,0.28,0,wssv,simulated
34.75,20.16,7.9,8.18,4.499,438.2,12.95,691.87,7.9,1,0,0,38,China,Wet,12,2018,0.461,1.0,1,wssv,simulated
21.1,18.02,7.59,5.1,2.112,63.73,142.42,1283.03,8.8,1,1,0,41,Thailand,Wet,7,2021,0.413,1.0,1,wssv,simulated
31.11,15.25,8.27,7.6,3.667,361.85,122.02,4118.52,15.28,0,0,1,146,India,Wet,3,2021,0.542,1.0,1,wssv,simulated
28.82,33.07,6.29,4.38,1.706,282.07,180.49,2941.16,25.32,1,1,1,128,Indonesia,Dry,1,2019,0.579,1.0,1,wssv,simulated
31.02,34.62,6.63,6.15,2.876,307.74,28.9,1495.48,3.56,1,1,1,87,Vietnam,Wet,10,2020,0.593,1.0,1,wssv,simulated
33.87,23.33,6.42,3.65,4.194,377.43,15.2,4522.45,28.8,0,0,1,36,Indonesia,Dry,10,2020,0.725,0.82,1,wssv,simulated
26.67,4.42,7.36,9.34,3.581,459.59,32.79,4455.51,14.8,0,0,1,59,Indonesia,Dry,4,2023,0.379,0.62,0,wssv,simulated
24.91,17.75,6.83,7.04,2.564,388.52,144.29,1642.57,27.74,1,0,1,78,China,Dry,11,2023,0.495,1.0,1,wssv,simulated
22.05,13.17,8.83,7.39,1.326,75.72,164.64,3694.45,8.48,0,0,0,30,India,Dry,9,2021,0.456,0.78,1,wssv,simulated
30.65,1.36,8.06,6.91,3.155,117.36,76.25,2699.26,28.63,1,0,1,154,India,Wet,6,2022,0.53,1.0,1,wssv,simulated
24.43,7.66,8.89,9.17,3.82,209.8,94.96,1312.24,12.75,0,1,1,59,Indonesia,Wet,3,2023,0.593,0.68,0,wssv,simulated
27.26,28.17,7.47,5.3,1.174,145.47,106.42,4460.07,23.48,0,1,1,111,India,Wet,7,2021,0.292,0.92,1,wssv,simulated
33.69,9.39,8.18,4.72,4.093,154.26,87.86,2905.28,5.0,0,0,1,63,Philippines,Dry,1,2023,0.623,0.78,0,wssv,simulated
21.35,24.67,8.74,8.13,2.764,327.47,108.54,1874.28,5.95,0,1,0,104,China,Dry,6,2020,0.576,0.68,1,wssv,simulated
28.29,8.7,6.04,8.76,3.776,263.28,105.28,3977.58,1.27,1,1,0,88,Malaysia,Dry,5,2018,0.618,1.0,1,wssv,simulated
32.19,13.22,7.2,8.55,4.383,430.99,24.54,2572.1,21.1,1,0,0,168,Philippines,Dry,12,2018,0.432,1.0,1,wssv,simulated
25.87,29.1,8.58,8.28,2.126,371.74,67.41,2348.64,2.99,1,1,1,139,Thailand,Dry,9,2021,0.474,0.98,1,wssv,simulated
24.27,24.6,7.52,5.06,4.966,363.78,190.78,3837.23,21.44,1,0,0,131,China,Dry,6,2021,0.501,1.0,1,wssv,simulated
21.63,10.87,6.43,7.04,0.418,280.44,49.46,4716.26,17.8,0,0,1,151,Philippines,Dry,8,2018,0.323,0.46,1,wssv,simulated
24.67,11.83,6.45,4.57,2.827,203.27,11.06,3482.95,22.65,1,1,1,90,Indonesia,Wet,8,2023,0.67,1.0,1,wssv,simulated
32.88,34.75,6.24,2.84,3.496,187.84,153.81,894.26,22.44,0,0,1,59,Thailand,Wet,3,2021,0.782,1.0,1,wssv,simulated
27.87,4.9,8.62,5.35,0.046,58.79,199.19,3627.72,26.41,1,1,1,174,Malaysia,Dry,5,2019,0.347,1.0,1,wssv,simulated
23.07,21.49,8.14,6.16,1.256,231.44,187.88,4642.69,21.6,0,0,1,32,Indonesia,Wet,3,2019,0.374,0.98,1,wssv,simulated
34.9,0.2,8.1,3.59,0.469,229.3,28.0,3162.37,17.83,0,1,0,118,Malaysia,Dry,5,2019,0.366,0.35,1,wssv,simulated
33.67,14.92,8.19,4.94,3.835,467.15,116.61,3243.84,6.08,0,0,0,101,Vietnam,Wet,2,2022,0.617,1.0,1,wssv,simulated
27.83,22.57,7.15,6.61,4.267,302.39,193.67,3712.6,18.48,1,0,0,30,China,Dry,2,2019,0.505,1.0,1,wssv,simulated
29.22,5.02,7.43,2.0,0.389,484.92,36.03,4055.45,12.76,1,1,1,158,China,Dry,9,2019,0.322,0.89,1,wssv,simulated
31.61,24.72,7.06,8.71,1.585,39.1,125.02,1148.11,4.98,1,0,1,173,India,Wet,5,2023,0.292,1.0,1,wssv,simulated
28.37,15.24,7.04,2.2,1.828,233.04,137.31,3669.61,6.41,0,1,1,75,Malaysia,Dry,8,2019,0.54,1.0,1,wssv,simulated
22.92,20.52,6.99,9.29,4.579,251.4,12.47,1437.84,19.42,1,1,0,94,Indonesia,Dry,1,2022,0.442,0.83,0,wssv,simulated
33.91,34.9,7.9,5.92,2.367,437.47,152.61,4056.41,1.15,0,0,0,63,Thailand,Wet,1,2018,0.466,0.82,1,wssv,simulated
30.66,11.0,8.57,4.22,4.263,327.55,150.12,1730.06,20.16,1,0,1,162,Thailand,Wet,11,2021,0.704,1.0,1,wssv,simulated
20.97,28.88,7.5,7.83,0.42,221.7,62.35,1073.55,15.16,0,0,1,100,Philippines,Wet,6,2018,0.119,0.35,0,wssv,simulated
32.54,3.01,8.79,2.71,4.59,91.25,26.42,1655.76,18.8,0,0,0,85,Malaysia,Wet,2,2021,0.791,0.72,0,wssv,simulated
34.15,10.77,8.04,9.54,4.323,373.7,150.24,1621.39,11.38,1,0,1,65,Philippines,Wet,4,2021,0.439,1.0,1,wssv,simulated
24.09,6.97,8.94,4.07,2.198,46.21,77.48,1881.7,23.17,1,0,0,179,India,Dry,10,2022,0.682,0.73,1,wssv,simulated
30.53,12.14,8.43,8.37,1.037,349.83,105.72,4166.3,23.83,0,0,1,85,India,Wet,2,2018,0.325,1.0,1,wssv,simulated
29.47,16.63,7.4,4.58,2.819,329.15,181.24,1679.62,3.14,1,0,0,137,India,Wet,11,2020,0.511,1.0,1,wssv,simulated
22.81,12.53,6.49,6.37,3.76,219.5,127.16,3008.52,20.83,1,1,0,94,Malaysia,Wet,6,2022,0.623,1.0,1,wssv,simulated
26.02,1.4,8.79,3.87,4.674,463.44,30.49,2186.88,8.08,1,0,0,161,Vietnam,Wet,12,2022,0.753,1.0,1,wssv,simulated
22.98,34.03,8.26,3.04,1.666,479.96,194.36,1615.44,22.97,1,1,1,72,India,Dry,3,2023,0.544,1.0,1,wssv,simulated
22.58,10.76,6.55,8.86,2.183,362.07,39.29,2821.21,23.27,0,1,0,118,Thailand,Wet,11,2022,0.439,0.58,1,wssv,simulated
23.19,16.53,7.13,5.71,1.214,458.47,83.64,1659.95,28.06,1,1,1,138,Philippines,Wet,2,2022,0.34,1.0,1,wssv,simulated
30.05,33.96,6.08,9.08,0.891,117.58,78.83,2557.13,0.05,1,0,0,65,India,Dry,4,2018,0.366,0.91,1,wssv,simulated
21.39,13.44,6.54,3.21,1.555,337.64,101.32,1379.0,28.65,0,0,1,162,China,Dry,2,2021,0.559,0.92,1,wssv,simulated
30.99,22.96,7.21,8.46,0.804,64.37,106.32,3462.86,0.35,1,1,0,107,India,Wet,11,2023,0.189,1.0,1,wssv,simulated
32.11,31.79,7.51,8.25,3.56,422.08,194.64,647.19,5.37,1,1,0,68,Thailand,Wet,10,2023,0.393,1.0,1,wssv,simulated
27.72,21.51,8.62,5.48,2.324,19.92,174.9,2355.23,1.5,1,1,1,116,Malaysia,Wet,9,2018,0.596,1.0,1,wssv,simulated
24.4,14.6,7.34,4.38,0.178,55.84,149.06,2703.22,11.89,0,0,0,62,Malaysia,Dry,8,2023,0.234,0.6,1,wssv,simulated
24.12,34.01,8.07,3.95,4.128,417.46,149.21,2665.44,13.75,0,1,1,39,Vietnam,Dry,9,2021,0.63,0.62,0,wssv,simulated
21.18,32.46,8.25,5.38,0.112,475.18,58.8,3299.19,26.49,1,0,0,176,Indonesia,Wet,9,2022,0.291,0.76,1,wssv,simulated
31.91,24.3,6.15,6.59,1.076,467.74,62.21,3475.43,5.57,0,1,0,102,Indonesia,Dry,4,2021,0.458,0.73,1,wssv,simulated
26.21,4.54,6.8,6.79,4.879,159.08,52.05,188.56,9.74,0,1,1,180,India,Wet,7,2022,0.557,0.73,1,wssv,simulated
28.36,12.0,6.96,8.58,0.759,427.18,104.81,2707.98,5.1,1,1,1,38,Malaysia,Dry,8,2023,0.222,1.0,1,wssv,simulated
25.18,7.26,8.95,4.95,1.459,157.67,138.16,244.87,18.75,0,1,1,136,China,Dry,9,2020,0.572,0.83,1,wssv,simulated
34.85,13.13,7.61,5.03,4.744,61.75,85.19,1135.4,3.32,1,0,0,132,Philippines,Wet,4,2020,0.517,1.0,1,wssv,simulated
28.99,11.18,7.09,2.85,4.424,480.12,154.73,1657.1,16.07,1,0,1,156,China,Wet,8,2020,0.64,1.0,1,wssv,simulated
33.1,14.0,6.01,8.64,3.815,328.1,139.84,581.78,17.4,1,1,1,78,Malaysia,Dry,4,2022,0.627,1.0,1,wssv,simulated
29.3,34.96,7.8,7.86,4.727,162.51,57.49,2889.6,14.16,0,1,0,129,Philippines,Dry,8,2019,0.455,0.47,1,wssv,simulated
33.12,6.13,8.81,9.37,1.614,146.49,179.94,1114.34,13.84,0,1,0,75,India,Dry,6,2022,0.419,0.63,0,wssv,simulated
33.63,8.57,8.17,2.56,3.743,341.01,87.21,2646.86,14.11,1,0,1,96,Malaysia,Dry,10,2023,0.693,1.0,1,wssv,simulated
28.01,0.83,7.44,7.81,1.465,199.2,166.24,3866.93,10.9,1,1,0,56,Vietnam,Wet,2,2022,0.246,1.0,1,wssv,simulated
25.5,22.98,6.43,3.94,2.413,132.25,72.7,3499.21,13.75,1,0,1,117,Indonesia,Wet,8,2020,0.648,1.0,1,wssv,simulated
28.52,20.8,8.28,3.18,1.442,110.51,80.46,1877.35,8.74,0,1,1,142,Malaysia,Wet,12,2019,0.518,1.0,1,wssv,simulated
21.93,21.26,8.58,4.06,1.14,425.46,120.81,826.98,0.36,1,1,1,73,Indonesia,Dry,9,2022,0.505,1.0,1,wssv,simulated
25.62,30.29,7.46,3.35,2.626,87.69,180.46,169.74,28.41,1,0,1,82,Vietnam,Dry,10,2020,0.52,1.0,1,wssv,simulated
31.84,22.75,7.07,5.67,4.564,453.15,169.6,4244.16,23.49,0,0,1,38,India,Dry,9,2020,0.549,1.0,1,wssv,simulated
28.3,18.72,8.22,8.98,4.852,27.99,117.67,1315.06,7.68,0,0,0,146,Vietnam,Dry,5,2022,0.487,1.0,1,wssv,simulated
21.37,6.65,8.49,2.51,4.516,261.28,21.56,1215.17,17.57,1,1,0,167,China,Dry,11,2020,0.748,0.72,1,wssv,simulated
27.17,15.47,7.43,2.8,2.947,299.15,66.99,147.05,12.89,0,1,0,180,China,Wet,5,2018,0.579,0.91,1,wssv,simulated
29.02,17.24,6.53,6.06,2.571,475.72,66.93,4349.58,7.47,1,1,1,58,China,Dry,1,2021,0.579,1.0,1,wssv,simulated
34.62,16.47,6.49,2.52,2.16,152.32,185.81,2271.67,19.14,0,0,0,89,Vietnam,Wet,5,2022,0.658,1.0,1,wssv,simulated
27.96,3.6,6.9,6.88,2.855,77.3,39.71,3855.35,23.57,0,0,1,162,India,Wet,5,2023,0.521,0.83,1,wssv,simulated
23.94,32.7,8.5,4.97,1.531,363.35,167.55,1645.2,9.24,1,1,0,133,Thailand,Wet,11,2020,0.504,1.0,1,wssv,simulated
34.62,26.85,6.06,7.63,1.043,358.34,66.01,1930.03,9.66,1,1,0,85,Philippines,Wet,2,2020,0.435,0.93,1,wssv,simulated
22.41,25.3,8.82,6.74,4.76,473.35,158.43,2011.31,28.79,1,0,1,180,India,Dry,1,2018,0.662,1.0,1,wssv,simulated
24.14,12.93,8.77,2.89,0.671,374.91,71.66,3898.69,12.41,0,0,1,176,Vietnam,Dry,4,2021,0.523,0.55,1,wssv,simulated
28.2,23.12,7.67,8.54,3.448,70.23,156.28,4366.55,20.98,1,1,1,84,Vietnam,Wet,4,2021,0.41,1.0,1,wssv,simulated
25.0,23.72,8.11,4.04,3.738,11.57,32.65,2112.82,11.89,1,0,0,161,Indonesia,Dry,7,2022,0.634,1.0,1,wssv,simulated
34.4,30.56,6.98,6.31,1.413,166.88,22.75,470.21,2.76,0,0,0,176,India,Dry,11,2018,0.367,0.48,1,wssv,simulated
24.15,15.8,8.64,7.91,3.252,36.51,133.09,1765.07,15.83,1,0,1,177,Indonesia,Dry,7,2022,0.593,1.0,1,wssv,simulated
23.38,14.95,6.78,3.78,3.373,163.31,96.97,3360.47,23.1,1,0,0,67,Vietnam,Wet,2,2019,0.661,1.0,1,wssv,simulated
29.03,29.56,8.34,6.32,4.773,163.73,69.91,1227.51,6.26,1,0,1,99,Vietnam,Dry,1,2020,0.596,1.0,1,wssv,simulated
33.48,15.39,8.5,5.0,2.22,371.97,150.58,1964.04,13.4,1,0,0,127,Philippines,Dry,3,2018,0.58,1.0,1,wssv,simulated
28.67,18.08,6.49,3.68,4.703,370.32,78.09,4977.25,12.45,0,0,1,152,Indonesia,Dry,1,2021,0.712,0.97,1,wssv,simulated
32.05,14.01,8.57,4.84,4.729,418.27,92.49,4254.26,9.02,0,1,1,34,Indonesia,Wet,3,2018,0.684,1.0,1,wssv,simulated
22.66,0.32,7.56,3.12,2.349,19.5,123.28,1128.15,22.2,1,1,1,70,India,Dry,9,2019,0.5,0.96,0,wssv,simulated
31.13,28.36,6.54,9.03,0.547,81.19,104.54,1599.72,18.76,1,1,0,36,Indonesia,Dry,1,2021,0.253,1.0,1,wssv,simulated
22.17,14.27,7.62,8.1,3.613,84.87,29.02,1808.47,6.68,1,0,0,151,India,Wet,8,2022,0.417,1.0,1,wssv,simulated
29.05,22.29,6.93,5.76,4.514,64.1,134.71,1891.36,18.41,0,1,1,176,Vietnam,Dry,9,2019,0.57,1.0,1,wssv,simulated
34.13,7.89,6.25,2.76,2.019,443.46,29.99,1208.49,5.54,1,1,1,163,Philippines,Wet,6,2019,0.674,1.0,1,wssv,simulated
