water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,wssv_outbreak,disease_type,data_source,ems_ahpnd_outbreak,ihhnv_outbreak,yhv_outbreak,imnv_outbreak
29.97,32.61,7.37,9.91,0.155,130.93,70.16,4072.21,22.93,1,0,1,152,Malaysia,Dry,11,2023,0.042,0.9,0.0,wssv,simulated,,,,
32.93,19.61,7.14,8.35,2.631,57.37,65.37,3550.88,6.47,0,1,1,172,Indonesia,Wet,10,2020,0.407,0.72,1.0,wssv,simulated,,,,
27.06,26.95,8.66,2.0,4.771,370.64,58.23,1678.37,18.21,0,0,1,129,Malaysia,Wet,3,2021,0.793,0.92,1.0,wssv,simulated,,,,
27.25,32.41,8.03,7.08,3.332,162.43,193.19,3604.8,21.46,0,0,1,146,Malaysia,Wet,7,2018,0.519,1.0,1.0,wssv,simulated,,,,
22.17,34.34,6.26,2.2,4.431,142.29,53.08,4094.58,23.38,1,1,1,127,Thailand,Wet,7,2021,0.8,0.92,1.0,wssv,simulated,,,,
25.69,24.44,6.14,6.05,0.385,404.62,64.51,121.04,29.04,1,0,1,148,Vietnam,Wet,1,2022,0.401,1.0,1.0,wssv,simulated,,,,
27.3,33.94,7.23,3.87,2.02,310.85,153.35,1829.56,8.18,1,0,0,37,China,Wet,4,2020,0.474,1.0,1.0,wssv,simulated,,,,
27.48,23.04,6.48,4.92,4.033,169.58,86.13,4687.25,26.84,0,1,1,79,Philippines,Dry,3,2019,0.673,1.0,1.0,wssv,simulated,,,,
30.3,25.94,8.07,4.57,3.952,425.41,132.7,3850.54,0.91,0,0,0,170,Indonesia,Dry,7,2019,0.609,0.88,0.0,wssv,simulated,,,,
31.92,25.53,7.21,5.34,3.12,154.09,136.14,975.49,2.61,0,0,0,126,Indonesia,Dry,9,2020,0.537,0.82,1.0,wssv,simulated,,,,
22.49,8.97,7.51,4.25,0.723,186.62,190.78,231.61,18.48,1,1,0,134,China,Wet,12,2020,0.274,0.85,1.0,wssv,simulated,,,,
22.8,24.91,7.14,3.84,2.01,392.01,117.71,4713.63,9.36,0,0,1,70,Vietnam,Wet,1,2018,0.489,1.0,1.0,wssv,simulated,,,,
20.94,13.59,8.46,9.04,0.163,337.94,190.01,853.04,25.46,0,1,1,57,Vietnam,Dry,12,2019,0.21,0.61,1.0,wssv,simulated,,,,
25.38,14.07,7.48,7.35,3.67,482.35,161.09,4125.92,21.87,0,1,0,67,China,Wet,3,2021,0.425,1.0,1.0,wssv,simulated,,,,
25.22,22.19,8.01,8.45,3.516,73.19,22.43,1973.95,25.06,1,0,1,115,Indonesia,Dry,7,2023,0.47,1.0,1.0,wssv,simulated,,,,
26.5,25.83,8.02,9.43,0.482,456.5,52.65,2900.45,2.85,1,0,0,76,India,Wet,3,2022,0.159,1.0,1.0,wssv,simulated,,,,
27.88,6.27,7.55,10.0,0.95,389.67,120.12,1364.39,25.69,0,1,0,51,India,Dry,1,2020,0.114,0.6,0.0,wssv,simulated,,,,
32.35,1.13,7.37,7.64,1.97,408.49,194.75,2200.4,26.18,0,0,1,87,Malaysia,Wet,1,2022,0.319,0.87,1.0,wssv,simulated,,,,
22.96,21.93,7.26,2.36,2.957,476.8,115.16,2840.96,1.25,0,0,1,139,India,Dry,1,2023,0.623,0.86,1.0,wssv,simulated,,,,
34.69,19.17,7.9,3.12,0.328,301.4,76.24,250.01,19.56,0,0,1,74,China,Dry,11,2020,0.332,0.64,1.0,wssv,simulated,,,,
26.0,24.58,8.81,4.54,4.769,350.43,139.14,1788.52,15.4,1,1,1,62,China,Dry,1,2021,0.734,1.0,1.0,wssv,simulated,,,,
25.33,22.25,8.21,4.57,1.67,240.5,107.6,3208.05,29.86,0,1,1,42,China,Dry,7,2021,0.485,1.0,1.0,wssv,simulated,,,,
22.03,12.49,7.3,8.59,0.38,69.75,144.08,668.97,24.27,0,0,1,112,China,Dry,9,2021,0.123,0.65,1.0,wssv,simulated,,,,
32.19,25.43,6.21,7.14,2.509,368.25,19.88,1063.29,14.96,0,1,0,128,Vietnam,Dry,12,2019,0.589,0.38,1.0,wssv,simulated,,,,
34.88,2.96,7.91,5.27,2.618,272.02,163.47,4592.27,16.03,0,1,0,36,Thailand,Dry,3,2023,0.517,0.57,1.0,wssv,simulated,,,,
32.59,13.56,7.32,2.99,4.202,349.6,20.32,2557.44,17.62,0,1,1,99,China,Dry,3,2018,0.597,0.66,1.0,wssv,simulated,,,,
20.86,29.23,6.17,4.87,1.503,33.84,48.84,2836.95,2.43,1,1,0,42,China,Dry,12,2023,0.56,0.63,0.0,wssv,simulated,,,,
21.29,29.18,7.61,5.29,1.073,238.2,194.98,1551.34,11.49,0,0,0,107,Vietnam,Wet,6,2020,0.295,0.67,0.0,wssv,simulated,,,,
21.82,6.63,8.72,3.39,2.459,14.35,140.22,480.15,6.8,0,1,0,107,Philippines,Dry,5,2022,0.697,0.57,1.0,wssv,simulated,,,,
32.37,17.63,6.92,3.42,2.195,125.21,96.63,383.8,1.83,1,1,1,85,India,Wet,12,2022,0.56,1.0,1.0,wssv,simulated,,,,
20.9,24.64,6.55,8.56,1.062,344.95,174.49,2644.7,4.1,0,1,0,133,China,Dry,6,2021,0.324,0.68,1.0,wssv,simulated,,,,
34.68,23.88,8.42,3.19,4.804,151.9,58.23,4214.06,1.31,1,0,1,74,Vietnam,Dry,6,2018,0.714,1.0,1.0,wssv,simulated,,,,
33.98,31.4,6.51,6.54,0.859,38.54,191.37,4062.62,14.85,0,0,0,104,Philippines,Dry,7,2018,0.376,0.61,1.0,wssv,simulated,,,,
24.27,16.42,6.21,8.76,1.675,396.71,70.58,2417.72,27.53,0,1,0,174,Indonesia,Wet,1,2018,0.442,0.58,1.0,wssv,simulated,,,,
24.01,31.62,6.31,9.99,0.692,134.71,189.86,3303.64,3.47,1,1,1,140,Indonesia,Wet,3,2023,0.276,0.96,1.0,wssv,simulated,,,,
23.64,1.41,8.5,8.52,2.448,217.92,116.29,1069.53,24.21,1,1,0,52,Indonesia,Dry,5,2019,0.488,0.88,1.0,wssv,simulated,,,,
31.01,34.79,7.3,7.24,3.067,130.72,195.03,3452.0,9.71,1,1,0,95,China,Dry,1,2018,0.459,1.0,1.0,wssv,simulated,,,,
21.63,11.26,7.21,8.09,2.394,486.84,91.7,2537.55,16.13,1,1,0,133,Vietnam,Wet,11,2019,0.378,1.0,1.0,wssv,simulated,,,,
32.44,22.3,6.75,8.19,1.649,489.89,181.47,952.22,6.0,0,0,1,115,Malaysia,Dry,1,2018,0.369,0.98,0.0,wssv,simulated,,,,
20.63,31.56,6.77,8.31,0.654,301.57,62.38,1102.25,28.93,1,1,1,167,Indonesia,Dry,1,2019,0.251,0.56,0.0,wssv,simulated,,,,
31.42,13.16,7.55,5.26,0.837,213.73,48.93,3955.29,27.64,1,0,0,124,Vietnam,Dry,1,2022,0.259,1.0,1.0,wssv,simulated,,,,
20.85,7.0,8.58,3.94,1.208,21.22,164.49,3678.43,11.71,0,1,1,166,Thailand,Dry,12,2018,0.516,0.62,1.0,wssv,simulated,,,,
26.54,24.72,7.7,8.64,4.884,349.76,98.79,1852.19,10.36,0,1,1,178,Malaysia,Wet,3,2021,0.412,1.0,1.0,wssv,simulated,,,,
32.49,5.74,9.0,9.38,4.917,282.92,80.14,3696.43,25.2,1,1,0,39,Philippines,Wet,8,2023,0.604,1.0,1.0,wssv,simulated,,,,
22.35,15.03,6.6,8.44,0.479,318.57,140.14,2088.65,17.05,1,0,1,160,China,Dry,9,2023,0.255,1.0,1.0,wssv,simulated,,,,
25.01,15.3,6.21,3.0,4.777,61.36,13.99,4778.9,7.73,0,0,0,133,Malaysia,Wet,4,2018,0.782,1.0,1.0,wssv,simulated,,,,
23.86,3.45,7.2,7.82,1.124,431.69,79.25,2472.55,23.93,1,1,0,105,Philippines,Wet,6,2019,0.248,0.72,1.0,wssv,simulated,,,,
23.82,1.27,6.33,8.68,0.16,83.36,101.59,2239.98,20.21,0,1,0,109,Indonesia,Wet,2,2018,0.257,0.51,0.0,wssv,simulated,,,,
34.66,14.74,7.94,5.56,2.066,84.19,165.69,3764.05,8.21,1,1,0,40,Indonesia,Dry,5,2019,0.451,1.0,1.0,wssv,simulated,,,,
20.59,3.85,6.46,7.48,0.854,205.25,22.06,1299.13,7.12,1,1,1,152,India,Dry,6,2021,0.352,0.56,0.0,wssv,simulated,,,,
23.45,26.36,6.52,2.33,4.601,484.97,107.72,3504.73,25.77,1,1,0,178,India,Dry,7,2018,0.752,0.97,1.0,wssv,simulated,,,,
30.03,6.75,6.69,3.37,0.905,302.82,25.67,2520.26,22.35,1,1,1,156,Vietnam,Dry,6,2018,0.457,0.95,1.0,wssv,simulated,,,,
25.33,15.49,6.28,6.58,1.51,67.99,157.38,4031.2,6.45,0,0,1,159,India,Dry,10,2021,0.485,1.0,1.0,wssv,simulated,,,,
30.88,32.66,6.61,2.27,1.949,382.67,109.84,4557.58,15.31,1,0,1,40,Philippines,Dry,4,2019,0.623,1.0,1.0,wssv,simulated,,,,
28.39,29.73,6.28,7.81,4.998,139.76,32.16,2912.97,7.68,1,0,1,56,Malaysia,Wet,11,2019,0.61,1.0,1.0,wssv,simulated,,,,
34.74,1.58,9.0,3.14,2.548,484.96,134.36,4522.66,14.3,1,1,0,58,China,Dry,10,2021,0.762,1.0,1.0,wssv,simulated,,,,
34.7,11.8,8.04,8.66,4.913,125.49,195.76,2905.84,16.53,0,1,0,109,China,Wet,9,2019,0.468,0.98,1.0,wssv,simulated,,,,
25.88,12.58,7.21,3.92,4.62,453.53,24.84,2060.82,3.69,1,0,1,111,Vietnam,Wet,9,2019,0.584,1.0,1.0,wssv,simulated,,,,
29.32,4.24,8.07,4.87,2.108,437.85,113.79,102.21,17.06,0,0,0,131,India,Dry,7,2021,0.5,0.88,1.0,wssv,simulated,,,,
29.51,28.77,7.43,5.65,0.493,226.56,28.48,2023.13,20.8,1,1,0,67,Indonesia,Wet,2,2022,0.211,0.9,1.0,wssv,simulated,,,,
31.34,9.36,6.07,7.46,1.44,337.0,192.1,2842.49,23.53,1,1,0,77,Vietnam,Wet,8,2018,0.483,1.0,1.0,wssv,simulated,,,,
32.82,32.54,7.17,3.79,1.438,490.85,51.29,4004.12,8.04,1,1,0,84,China,Dry,2,2018,0.422,0.81,1.0,wssv,simulated,,,,
21.37,22.86,8.93,6.45,3.493,247.24,50.01,2207.7,27.12,1,1,0,90,China,Dry,4,2023,0.69,0.83,1.0,wssv,simulated,,,,
29.66,3.74,6.24,2.97,4.252,228.16,67.71,3674.45,14.77,0,1,0,99,Vietnam,Dry,7,2019,0.778,0.62,1.0,wssv,simulated,,,,
31.35,28.0,7.16,6.4,3.752,44.24,117.9,4588.78,15.3,0,1,1,85,Thailand,Dry,10,2020,0.51,0.77,1.0,wssv,simulated,,,,
30.63,11.64,7.45,3.65,0.419,276.77,49.91,1445.29,23.8,0,1,0,64,China,Dry,2,2019,0.267,0.64,1.0,wssv,simulated,,,,
34.12,32.44,7.69,5.81,0.702,464.94,10.69,485.71,7.49,1,0,0,144,Malaysia,Wet,7,2021,0.249,0.85,1.0,wssv,simulated,,,,
27.43,1.01,7.9,2.05,1.247,464.86,138.75,3139.91,3.83,1,0,1,33,Vietnam,Dry,8,2019,0.47,1.0,1.0,wssv,simulated,,,,
29.67,27.91,6.26,9.97,0.145,359.23,118.95,1606.51,0.63,1,1,0,50,Malaysia,Dry,12,2021,0.224,1.0,1.0,wssv,simulated,,,,
30.93,17.01,8.01,4.97,3.028,208.18,197.06,3831.14,10.49,1,0,1,90,Vietnam,Wet,2,2023,0.586,1.0,1.0,wssv,simulated,,,,
27.83,15.59,6.04,2.93,2.629,335.8,62.5,2446.35,29.37,1,1,1,66,Vietnam,Dry,8,2021,0.771,1.0,1.0,wssv,simulated,,,,
20.37,18.94,6.22,5.92,1.165,361.22,121.93,627.62,29.3,1,0,0,96,Indonesia,Wet,2,2022,0.479,1.0,1.0,wssv,simulated,,,,
25.53,2.57,8.38,8.83,2.763,124.84,104.13,1708.22,1.23,0,1,0,65,Vietnam,Dry,5,2020,0.493,0.78,1.0,wssv,simulated,,,,
22.67,0.71,7.78,6.38,1.734,340.36,20.37,1630.68,4.22,1,1,1,128,Indonesia,Dry,3,2018,0.36,0.62,1.0,wssv,simulated,,,,
30.08,9.03,7.75,8.59,0.527,290.12,72.39,2272.23,17.21,0,1,1,166,Malaysia,Dry,5,2023,0.147,0.4,0.0,wssv,simulated,,,,
30.96,15.16,8.06,6.62,2.761,328.64,92.16,3521.37,23.68,1,1,0,46,India,Wet,5,2022,0.513,1.0,1.0,wssv,simulated,,,,
20.3,17.52,6.5,9.77,0.656,321.64,25.2,2825.5,28.95,0,1,0,145,India,Dry,2,2022,0.247,0.31,0.0,wssv,simulated,,,,
28.89,33.55,6.5,4.51,2.336,246.99,171.66,4248.85,13.51,0,0,0,40,Thailand,Wet,1,2023,0.609,1.0,1.0,wssv,simulated,,,,
29.81,26.76,8.56,5.73,3.979,367.18,72.62,3076.69,1.57,0,0,0,162,Malaysia,Dry,1,2021,0.652,0.63,1.0,wssv,simulated,,,,
23.54,15.99,7.53,9.83,3.314,22.14,13.59,1004.66,4.25,0,1,0,127,India,Dry,8,2020,0.344,0.37,1.0,wssv,simulated,,,,
20.64,32.07,6.0,9.69,3.334,241.46,159.37,4004.67,27.49,1,1,0,107,Philippines,Dry,11,2022,0.594,0.88,1.0,wssv,simulated,,,,
33.55,30.8,8.0,7.34,0.586,445.03,110.36,2534.41,7.56,0,1,0,145,China,Dry,10,2019,0.237,0.45,1.0,wssv,simulated,,,,
24.64,6.72,8.73,2.49,0.741,27.15,16.82,1533.93,14.02,0,0,1,127,Malaysia,Dry,4,2020,0.538,0.35,0.0,wssv,simulated,,,,
32.39,28.26,8.5,5.03,0.884,25.41,112.81,676.12,17.31,1,1,1,172,China,Wet,8,2022,0.431,1.0,1.0,wssv,simulated,,,,
27.03,28.52,7.87,6.36,2.915,391.47,153.43,2981.57,9.25,0,1,0,130,Vietnam,Dry,4,2022,0.507,0.72,1.0,wssv,simulated,,,,
28.67,32.04,7.65,3.03,0.688,43.14,186.69,2444.51,15.97,1,1,1,152,India,Dry,10,2023,0.334,1.0,1.0,wssv,simulated,,,,
21.19,34.34,7.56,2.32,3.622,122.65,170.7,2559.75,27.4,0,1,0,99,China,Dry,2,2021,0.599,0.51,1.0,wssv,simulated,,,,
32.08,2.38,8.76,9.77,1.494,149.12,89.52,1060.03,6.29,0,1,0,178,Vietnam,Wet,6,2019,0.384,0.78,1.0,wssv,simulated,,,,
33.77,21.05,8.64,2.17,2.148,301.26,179.64,489.2,10.71,1,0,1,139,Vietnam,Dry,7,2022,0.69,1.0,1.0,wssv,simulated,,,,
30.02,12.05,6.64,7.24,2.336,343.54,18.6,4267.32,20.6,1,1,0,157,Malaysia,Dry,4,2020,0.495,1.0,1.0,wssv,simulated,,,,
21.64,12.81,8.11,4.44,0.974,227.4,40.21,2895.58,29.52,1,1,1,130,Vietnam,Wet,7,2023,0.395,0.91,1.0,wssv,simulated,,,,
24.7,23.24,7.97,6.9,4.17,495.39,29.76,3080.02,17.47,1,0,0,178,China,Dry,8,2022,0.515,0.87,1.0,wssv,simulated,,,,
29.82,7.18,8.65,4.24,3.478,351.31,173.61,3652.86,15.04,1,0,0,75,Malaysia,Wet,6,2018,0.717,1.0,1.0,wssv,simulated,,,,
33.08,10.69,6.18,3.74,4.477,484.54,194.94,4806.96,4.19,1,0,0,61,Thailand,Dry,4,2023,0.762,1.0,1.0,wssv,simulated,,,,
24.53,8.73,8.45,6.73,4.225,10.92,95.87,3016.12,14.42,1,1,0,44,Vietnam,Dry,9,2020,0.601,0.88,1.0,wssv,simulated,,,,
24.02,16.16,6.98,8.9,2.312,112.8,152.41,3315.91,0.66,0,1,0,107,Malaysia,Dry,8,2021,0.38,0.68,1.0,wssv,simulated,,,,
32.63,6.95,8.64,3.34,4.364,45.35,101.31,3785.5,5.74,1,0,0,72,Malaysia,Wet,8,2023,0.745,1.0,1.0,wssv,simulated,,,,
31.07,18.65,8.59,7.24,2.46,214.97,112.86,2223.83,8.78,1,1,0,93,Malaysia,Dry,4,2018,0.547,1.0,1.0,wssv,simulated,,,,
34.64,7.01,6.56,8.44,4.337,107.95,108.72,191.0,24.0,1,1,1,134,Vietnam,Wet,2,2018,0.542,1.0,1.0,wssv,simulated,,,,
28.96,6.26,8.91,5.27,3.683,41.06,74.45,4438.96,4.64,1,0,0,123,Philippines,Dry,5,2018,0.726,1.0,1.0,wssv,simulated,,,,
29.45,9.96,6.63,3.7,2.395,142.81,170.83,2441.9,13.65,0,1,1,147,Philippines,Dry,12,2018,0.621,0.92,1.0,wssv,simulated,,,,
31.07,3.41,7.65,6.26,1.302,466.72,147.52,551.48,1.71,0,0,1,107,China,Wet,3,2020,0.294,1.0,1.0,wssv,simulated,,,,
27.33,12.95,8.84,3.88,2.995,411.13,61.13,3726.09,10.57,1,1,1,105,Philippines,Dry,6,2018,0.76,1.0,1.0,wssv,simulated,,,,
20.6,10.23,6.88,7.86,0.101,237.2,85.38,2379.1,26.42,0,0,1,176,Philippines,Wet,1,2018,0.186,0.86,1.0,wssv,simulated,,,,
26.77,18.09,6.03,2.05,3.04,428.79,20.15,306.94,15.59,1,0,1,87,Indonesia,Wet,4,2018,0.843,1.0,1.0,wssv,simulated,,,,
30.51,28.55,8.24,8.17,0.669,35.99,40.2,1141.24,12.38,1,1,0,133,Philippines,Wet,6,2022,0.259,0.96,0.0,wssv,simulated,,,,
31.77,6.65,6.13,2.5,1.476,258.75,140.45,4514.46,9.67,0,0,1,132,Philippines,Wet,2,2022,0.642,1.0,1.0,wssv,simulated,,,,
23.74,9.71,6.14,6.84,1.844,43.75,56.57,265.78,6.9,1,1,1,73,Philippines,Wet,3,2019,0.537,0.83,1.0,wssv,simulated,,,,
28.6,24.67,6.55,4.57,1.751,267.28,76.8,3212.36,17.78,1,1,0,110,India,Dry,11,2023,0.534,1.0,1.0,wssv,simulated,,,,
29.25,24.36,6.35,3.58,2.19,373.22,62.37,2274.76,27.0,0,0,0,120,China,Wet,5,2020,0.649,1.0,1.0,wssv,simulated,,,,
33.99,32.78,7.76,3.02,3.513,69.41,56.39,927.91,25.55,0,0,1,120,Indonesia,Dry,4,2019,0.609,0.56,1.0,wssv,simulated,,,,
26.24,16.01,7.34,4.82,0.569,290.39,111.02,3320.17,10.81,0,0,0,161,India,Wet,2,2021,0.263,1.0,1.0,wssv,simulated,,,,
31.71,5.69,8.05,2.49,4.222,189.59,125.42,3499.78,28.9,1,1,0,129,Malaysia,Dry,7,2021,0.675,1.0,1.0,wssv,simulated,,,,
28.41,24.92,8.77,5.82,2.755,109.76,79.06,3604.9,17.55,0,0,0,127,Vietnam,Dry,9,2020,0.657,0.83,1.0,wssv,simulated,,,,
23.82,9.97,6.9,4.37,3.056,296.96,105.29,711.23,24.32,1,1,1,86,Vietnam,Wet,3,2020,0.621,1.0,1.0,wssv,simulated,,,,
31.86,26.24,8.62,7.48,2.16,144.77,50.63,2722.26,22.57,1,1,1,163,Malaysia,Dry,7,2018,0.511,0.98,1.0,wssv,simulated,,,,
29.47,17.7,8.75,3.27,2.233,359.87,112.36,1449.02,3.55,1,0,1,63,India,Dry,5,2021,0.681,1.0,1.0,wssv,simulated,,,,
29.45,21.7,6.08,3.44,2.714,219.76,135.14,2084.67,12.55,0,0,0,116,Indonesia,Wet,10,2020,0.757,1.0,1.0,wssv,simulated,,,,
24.18,1.64,8.8,4.39,3.016,253.89,12.72,3855.56,3.61,0,1,1,78,Thailand,Wet,9,2022,0.737,0.43,1.0,wssv,simulated,,,,
28.7,20.68,8.54,9.33,0.481,140.13,83.4,3937.97,19.14,1,0,0,68,Indonesia,Dry,6,2022,0.249,1.0,1.0,wssv,simulated,,,,
30.39,25.66,7.54,9.63,3.317,198.41,77.03,2346.14,5.44,1,1,1,96,India,Wet,6,2021,0.352,1.0,1.0,wssv,simulated,,,,
23.52,14.17,8.92,4.48,1.156,483.7,166.05,743.48,29.16,0,1,0,83,Malaysia,Wet,11,2019,0.549,0.83,1.0,wssv,simulated,,,,
22.19,30.1,7.41,2.05,0.609,190.52,79.85,4139.27,26.75,0,0,1,158,Thailand,Wet,5,2023,0.348,0.44,0.0,wssv,simulated,,,,
34.91,31.35,8.98,9.97,4.884,468.78,48.81,1290.26,4.49,1,0,0,137,Thailand,Dry,10,2023,0.581,0.88,1.0,wssv,simulated,,,,
22.92,1.09,8.81,8.89,0.026,311.75,14.31,2387.18,16.51,1,1,0,82,China,Wet,4,2023,0.258,0.66,1.0,wssv,simulated,,,,
28.88,6.06,7.84,2.78,1.244,348.18,86.88,4184.34,17.26,1,0,1,44,China,Dry,1,2018,0.436,1.0,1.0,wssv,simulated,,,,
33.96,16.91,6.56,3.74,0.256,257.66,12.64,1383.65,8.15,0,1,0,90,Philippines,Dry,12,2021,0.394,0.55,1.0,wssv,simulated,,,,
28.04,15.41,7.95,2.94,2.617,14.35,39.28,1096.53,26.33,1,1,1,88,Vietnam,Wet,4,2018,0.601,1.0,1.0,wssv,simulated,,,,
30.1,12.91,8.8,5.88,0.258,299.03,48.28,1369.62,19.89,0,0,1,133,India,Dry,9,2021,0.383,0.76,1.0,wssv,simulated,,,,
26.27,9.28,8.34,5.28,4.207,124.46,150.82,2700.99,26.38,1,1,1,137,India,Dry,1,2018,0.631,1.0,1.0,wssv,simulated,,,,
30.63,24.24,7.75,2.75,1.135,218.98,167.0,2470.34,14.14,1,0,1,43,Thailand,Dry,11,2019,0.409,1.0,1.0,wssv,simulated,,,,
20.13,9.04,6.56,7.26,2.492,302.15,110.0,4361.92,28.7,1,1,1,146,China,Wet,4,2018,0.525,1.0,1.0,wssv,simulated,,,,
20.07,4.68,8.56,5.58,4.863,382.97,71.99,4930.25,16.09,0,1,0,82,Malaysia,Dry,4,2019,0.657,0.23,0.0,wssv,simulated,,,,
24.44,14.93,6.99,6.99,2.357,409.43,70.34,2999.14,15.08,1,1,0,161,China,Dry,4,2018,0.447,0.83,1.0,wssv,simulated,,,,
32.41,22.2,6.88,5.7,3.33,34.28,109.84,2403.42,12.83,1,0,0,154,Vietnam,Dry,3,2020,0.58,1.0,1.0,wssv,simulated,,,,
32.85,9.28,7.05,7.11,0.104,240.8,13.82,2284.22,24.24,1,0,0,152,Vietnam,Dry,11,2020,0.183,0.7,1.0,wssv,simulated,,,,
27.99,27.59,7.98,3.89,3.098,70.95,20.58,411.39,8.56,1,1,0,127,Thailand,Dry,8,2021,0.617,0.96,1.0,wssv,simulated,,,,
27.05,0.82,8.4,7.95,0.667,21.3,68.44,4712.64,1.52,0,1,1,42,Indonesia,Wet,9,2022,0.292,0.61,1.0,wssv,simulated,,,,
34.87,12.14,7.89,5.37,2.422,292.31,194.89,4594.92,20.14,1,1,0,35,Indonesia,Wet,1,2020,0.488,1.0,1.0,wssv,simulated,,,,
26.41,8.99,6.68,5.79,3.948,206.43,172.12,874.89,19.3,1,1,0,39,China,Wet,4,2020,0.61,1.0,1.0,wssv,simulated,,,,
32.09,5.11,7.77,7.1,0.021,384.86,189.05,2577.95,29.5,0,1,0,127,China,Dry,5,2020,0.144,0.45,0.0,wssv,simulated,,,,
29.78,29.8,7.14,2.01,4.1,395.98,22.63,1001.15,6.4,0,0,1,104,Malaysia,Wet,5,2018,0.66,0.86,1.0,wssv,simulated,,,,
22.2,28.43,7.91,4.04,4.489,331.79,116.48,2322.8,21.34,1,1,1,154,Indonesia,Dry,10,2018,0.6,0.87,0.0,wssv,simulated,,,,
33.47,19.99,8.58,6.08,3.711,364.28,40.85,1124.23,6.59,1,0,1,148,India,Wet,6,2021,0.644,1.0,1.0,wssv,simulated,,,,
20.96,22.51,7.33,4.75,0.276,371.81,36.03,3772.9,15.78,0,0,0,153,Malaysia,Wet,9,2019,0.234,0.5,1.0,wssv,simulated,,,,
29.95,33.35,8.8,5.86,3.586,155.45,131.76,1548.96,23.22,0,0,0,107,China,Wet,5,2018,0.688,1.0,1.0,wssv,simulated,,,,
27.34,34.5,6.66,5.7,1.205,55.74,147.92,4409.22,6.16,0,1,1,83,Thailand,Wet,12,2018,0.417,0.98,1.0,wssv,simulated,,,,
34.07,27.69,6.42,3.39,1.437,225.79,46.41,4874.46,13.53,1,0,1,160,Indonesia,Dry,11,2020,0.56,1.0,1.0,wssv,simulated,,,,
20.67,32.22,8.98,5.99,0.323,16.02,140.75,3454.45,19.61,1,0,0,118,Philippines,Wet,2,2018,0.416,1.0,1.0,wssv,simulated,,,,
25.6,7.52,8.18,7.68,1.993,499.45,80.93,4387.44,5.56,0,1,0,159,China,Dry,3,2022,0.412,0.78,1.0,wssv,simulated,,,,
21.44,33.22,7.85,2.88,0.212,8.51,21.9,1305.3,13.65,1,1,0,32,India,Dry,11,2020,0.319,0.54,1.0,wssv,simulated,,,,
34.65,13.99,8.28,5.47,3.041,242.86,113.03,3397.69,8.88,0,1,1,42,Indonesia,Wet,3,2021,0.614,1.0,1.0,wssv,simulated,,,,
34.38,28.72,8.05,2.4,2.454,213.04,184.97,2711.7,15.72,0,1,1,137,Vietnam,Wet,8,2019,0.618,0.92,1.0,wssv,simulated,,,,
29.59,20.09,6.18,3.14,2.652,221.59,193.95,1912.02,26.29,1,1,0,91,Philippines,Wet,10,2022,0.743,1.0,1.0,wssv,simulated,,,,
24.39,14.77,7.51,8.82,4.787,83.64,23.32,1176.83,15.5,0,0,1,97,Vietnam,Wet,5,2019,0.374,0.67,0.0,wssv,simulated,,,,
34.28,19.98,6.7,8.13,3.069,309.7,105.52,1169.15,6.32,1,0,0,52,India,Dry,11,2022,0.529,1.0,1.0,wssv,simulated,,,,
30.09,21.04,7.23,3.36,2.531,355.63,108.64,2171.13,8.29,1,1,0,84,China,Wet,7,2019,0.548,1.0,1.0,wssv,simulated,,,,
32.4,17.09,8.3,5.04,2.348,438.01,159.86,1010.53,20.41,1,1,0,65,India,Dry,12,2022,0.56,1.0,1.0,wssv,simulated,,,,
24.81,30.38,8.45,7.73,0.733,282.33,198.44,1872.25,11.83,0,0,1,80,China,Wet,7,2020,0.315,0.66,1.0,wssv,simulated,,,,
22.13,13.24,7.21,7.22,4.409,216.1,113.85,2971.72,29.51,0,1,1,48,Indonesia,Wet,10,2018,0.474,0.82,0.0,wssv,simulated,,,,
34.94,8.53,8.01,2.44,2.849,441.81,12.83,4866.17,29.16,0,0,0,120,China,Dry,9,2019,0.654,0.57,0.0,wssv,simulated,,,,
23.82,17.61,6.57,8.67,1.543,228.76,32.52,4962.38,13.31,1,0,1,32,Indonesia,Wet,5,2021,0.371,1.0,1.0,wssv,simulated,,,,
23.11,30.34,8.55,4.58,3.972,369.14,21.81,3026.0,13.57,0,1,1,54,Malaysia,Wet,8,2018,0.689,0.43,1.0,wssv,simulated,,,,
26.61,31.59,8.9,6.59,1.51,170.89,144.48,972.23,21.66,0,0,1,65,Vietnam,Dry,6,2018,0.515,0.93,1.0,wssv,simulated,,,,
29.55,1.92,6.71,7.01,3.513,80.87,191.58,202.68,1.01,0,1,0,68,China,Dry,10,2022,0.565,0.78,1.0,wssv,simulated,,,,
26.92,19.23,7.07,2.92,4.943,377.61,128.05,2360.88,7.55,1,1,1,43,Vietnam,Dry,8,2018,0.641,1.0,1.0,wssv,simulated,,,,
22.41,17.36,7.82,9.94,4.704,466.31,76.64,3468.86,0.02,0,0,0,44,China,Dry,1,2019,0.389,0.47,1.0,wssv,simulated,,,,
30.18,34.98,8.85,6.85,4.718,45.43,186.34,4016.6,2.8,0,0,1,141,India,Wet,8,2023,0.663,1.0,1.0,wssv,simulated,,,,
